Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"ADDLIFE B - PROPERTY, PLANT & EQUIP-GROSS",SE0014401378(WC02301),SK,NA,NA,NA,NA,NA,116100,129000,138200,223900,235500,354100,701500,997400
ADDTECH B - CAPEX,SE0014781795(DWCX),SK,17000,43000,21000,27000,43000,231000,-188000,15000,52000,70000,22000,83000,116000
"ADDTECH B - PROPERTY, PLANT & EQUIP-GROSS",SE0014781795(WC02301),SK,526700,527500,497000,555300,594600,620100,699100,754000,625000,689000,NA,NA,1847000
ADEVINTA - CAPEX,NO0010844038(DWCX),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,230233,285090,295576,477545
"ADEVINTA - PROPERTY, PLANT & EQUIP-GROSS",NO0010844038(WC02301),NK,NA,NA,NA,NA,NA,NA,NA,NA,323590,446933,514287,1210648,1562913
ADIDAS - CAPEX,DE000A1EWWW0(DWCX),E,230000,316000,195000,227000,318000,376000,427000,499000,464000,586000,678000,611000,598000
"ADIDAS - PROPERTY, PLANT & EQUIP-GROSS",DE000A1EWWW0(WC02301),E,1542000,1480000,1799000,2071000,2262000,2419000,2824000,3221000,3648000,3628000,4061000,7336000,6756000
ADLER GROUP - CAPEX,LU1250154413(DWCX),E,NA,NA,NA,NA,NA,34290,74804,188183,418735,129428,223952,118300,47189
"ADLER GROUP - PROPERTY, PLANT & EQUIP-GROSS",LU1250154413(WC02301),E,NA,NA,NA,NA,256110,449265,611946,1458524,2281083,3274081,4047518,3636194,10163409
ADLER REAL ESTATE - CAPEX,DE0005008007(DWCX),E,94,26,NA,27,1,2312,7,149,650,537,2827,4577,7208
"ADLER REAL ESTATE - PROPERTY, PLANT & EQUIP-GROSS",DE0005008007(WC02301),E,890,136,163,149,148,160,1171538,2271939,2446302,3024576,4998087,4944131,4979924
ADP - CAPEX,FR0010340141(DWCX),E,701589,455150,428991,500756,646652,612443,421407,385000,497000,767000,847000,1032000,1117000
"ADP - PROPERTY, PLANT & EQUIP-GROSS",FR0010340141(WC02301),E,8332235,8672472,9103360,9652538,10292278,10605888,10875000,11155000,11790000,12911000,13820000,14733000,15374000
ADVA OPTICAL NETWORKING - CAPEX,DE0005103006(DWCX),E,21717,18987,19937,8218,7500,9192,7409,7092,7892,12889,10559,14029,16888
"ADVA OPTICAL NETWORKING - PROPERTY, PLANT & EQUIP-GROSS",DE0005103006(WC02301),E,56249,60388,69317,76289,77266,81821,88016,95469,106382,110546,121080,170540,175275
ADYEN - CAPEX,NL0012969182(DWCX),E,NA,NA,NA,NA,NA,NA,NA,3353,5236,10537,9685,11041,15186
"ADYEN - PROPERTY, PLANT & EQUIP-GROSS",NL0012969182(WC02301),E,NA,NA,NA,NA,NA,NA,5421,10655,21171,30368,40413,115282,194368
AEDAS HOMES - CAPEX,ES0105287009(DWCX),E,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,552,374,393
"AEDAS HOMES - PROPERTY, PLANT & EQUIP-GROSS",ES0105287009(WC02301),E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1145,4181,NA
AEDIFICA - CAPEX,BE0003851681(DWCX),E,26963,3337,2261,13852,33762,35915,38426,39031,25970,32728,44308,79564,109508
"AEDIFICA - PROPERTY, PLANT & EQUIP-GROSS",BE0003851681(WC02301),E,349855,358875,437759,521445,596778,647285,790060,1008889,1158185,1546953,1744618,2317929,3812216
AEGEAN AIRLINES CR - CAPEX,GRS495003006(DWCX),E,50690,9033,14543,11463,24580,1920,1517,13499,20237,4671,4709,11743,18666
