Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ADIDAS - CO2 Equivalents Emission Total,DE000A1EWWW0(ENERDP023),NA,48904,52649,65021,66168,66545,64970,58825,59132,52548,60517,67645,28310,26756
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ADLER REAL ESTATE - CO2 Equivalents Emission Total,DE0005008007(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21663,23105,NA
ADP - CO2e Indirect Emissions Scope 3,FR0010340141(ENERDP096),NA,NA,NA,NA,1196300,1838490,1174000,1188270,1225710,1236710,1238389,1251100,1241920,531419
ADP - CO2 Equivalents Emission Total,FR0010340141(ENERDP023),NA,NA,NA,NA,NA,126902,94314,43208,50929,52814,53461,53716,113815,99593
ADVA OPTICAL NETWORKING - CO2e Indirect Emissions Scope 3,DE0005103006(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278105,307584,268064
ADVA OPTICAL NETWORKING - CO2 Equivalents Emission Total,DE0005103006(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8222,7649,6945
ADYEN - CO2e Indirect Emissions Scope 3,NL0012969182(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8080.97,6064.85
ADYEN - CO2 Equivalents Emission Total,NL0012969182(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2940.38,2564.92
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AEDIFICA - CO2 Equivalents Emission Total,BE0003851681(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9774,24867,40313
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AEGEAN AIRLINES CR - CO2 Equivalents Emission Total,GRS495003006(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002459,1273526,1376900,519881
AEGON - CO2e Indirect Emissions Scope 3,NL0000303709(ENERDP096),NA,17318,12339,13440,13564,NA,NA,NA,NA,NA,NA,13801,11637,2139
AEGON - CO2 Equivalents Emission Total,NL0000303709(ENERDP023),NA,88954,80388,86426,102230,NA,79372,77448,68283,69213,59491,52153,47638,39065
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AENA SME - CO2 Equivalents Emission Total,ES0105046009(ENERDP023),NA,NA,NA,NA,NA,NA,NA,260009,293571,251105,259135.9,242789,171880.9,NA
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AEROP GUGL MARCO - CO2 Equivalents Emission Total,IT0001006128(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6623.9,6583,5307.2
AF GRUPPEN 'A' - CO2e Indirect Emissions Scope 3,NO0003078107(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6481
AF GRUPPEN 'A' - CO2 Equivalents Emission Total,NO0003078107(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42048
AFRY - CO2e Indirect Emissions Scope 3,SE0005999836(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6065,9814,2692
