"","X.1","Country","year","ISIN","X","scope1","scope2","scope3","scope_total","CURRENCY","Rev","Emp","TA","NPPE","INTAN","Debt_comm_eq","Capex","PPEG","Dprc","Accr","S_pillar","E_pillar","G_pillar","NCFOA","Debt_TotCap","GMAR","OIBD","OI","NS_WC","iso","FuelInten","Income.group","CO2_imp","ggroup","gind","gsector","gsubind","naics","naicsh"
"1",1,"AUSTRALIA",2015,"AU000000IGO4",184,37181,18245,NA,55426,"A$",495326,NA,689706,460474,0,0.08,73317,593720,98551,NA,21.47,50.31,73.83,201713,0.08,44.4,208804,110253,3.22,"AU","  67.3","High income","National",1510,151040,15,15104020,212,212
"2",2,"AUSTRALIA",2018,"AU000000IGO4",187,71123,14042,NA,85165,"A$",777946,244,1967657,1563598,0,7.92,182648,1637275,252133,NA,36.29,42.28,78.57,276797,7.34,27.44,337369,85236,3.48,"AU","  74.2","High income","National",1510,151040,15,15104020,212,212
"3",3,"AUSTRALIA",2019,"AU000000IGO4",188,73963,130,11178,74093,"A$",784512,NA,2010032,1448195,0,4.57,131740,1487316,237118,NA,54.65,52.43,72.51,372310,4.37,25.05,347513,110395,2.05,"AU","  76.6","High income","National",1510,151040,15,15104020,212,212
"4",4,"AUSTRALIA",2017,"AU000000IGO4",186,76482,13743,NA,90225,"A$",421926,450,1957054,1717857,0,11.37,270173,1875112,89773,NA,34.95,36.85,69.31,64247,10.21,35.61,140809,51036,4.32,"AU","  71.9","High income","National",1510,151040,15,15104020,212,212
"5",5,"AUSTRALIA",2011,"AU000000IGO4",182,32675,21595,NA,54270,"A$",150880,NA,942010,506178,117515,1.41,54224,539411,27115,NA,7.66,18.82,73.69,62713,1.39,33.38,77739,50371,0.7,"AU","  61.9","High income","National",1510,151040,15,15104020,212,212
"6",6,"AUSTRALIA",2012,"AU000000IGO4",183,38429,15448,NA,53877,"A$",216557,NA,660304,363818,454,2.9,134254,471373,38932,NA,8.52,25.24,73.78,43401,2.82,21.82,55668,16437,1,"AU","  64.9","High income","National",1510,151040,15,15104020,212,212
"7",7,"AUSTRALIA",2020,"AU000000IGO4",189,63536,173,31245,63709,"A$",888930,NA,2173296,1342227,0,5.02,85081,2229006,243633,NA,69.99,71.15,75.16,397517,4.78,32.31,431665,188032,1.39,"AU","  86.6","High income","National",1510,151040,15,15104020,212,212
"8",8,"AUSTRALIA",2010,"AU000000IGO4",181,4729,21873,NA,26602,"A$",111109,NA,266279,92162,1006,0,37422,120506,11125,NA,6.31,15.61,70.11,63992,0,41.47,57449,46049,0.82,"AU","  61.0","High income","National",1510,151040,15,15104020,212,212
"9",9,"AUSTRALIA",2016,"AU000000IGO4",185,49624,15598,NA,65222,"A$",413188,NA,1787964,1625693,0,18.26,126841,1771728,99695,NA,19.79,45.96,45.32,95194,15.44,34.02,134978,35283,-13.68,"AU","  69.3","High income","National",1510,151040,15,15104020,212,212
"10",10,"AUSTRIA",2013,"AT0000831706",120,NA,NA,NA,1835695,"E",2662943,11893,4164727,1663283,842897,92.07,121955,3767046,197961,NA,27.99,67.09,59.29,194065,47.91,26.97,232426,21184,3.77,"AT","  15.9","High income","National",1510,151020,15,15102010,327120,327121
"11",11,"AUSTRIA",2013,"AT0000606306",27,291,95,2865,386,"E",8475179,57901,130150854,1594558,1248709,620.21,329896,NA,211547,NA,50.57,73.2,23.1,205001,81.54,NA,1153336,722424,NA,"AT","  15.9","High income","National",NA,NA,NA,NA,NA,NA
"12",12,"AUSTRIA",2015,"AT0000831706",122,NA,NA,NA,2064000,"E",2972357,15813,3673150,1614874,701425,80.1,127459,4098165,201214,NA,52.2,78.1,66.38,261903,44.19,29.98,317763,120235,6.86,"AT","  15.5","High income","National",1510,151020,15,15102010,327120,327121
"13",13,"AUSTRIA",2013,"AT0000APOST4",163,45537,6411,19951,51948,"E",2366800,24211,1583300,615900,223900,3.03,78900,1316100,118500,NA,71.35,45.21,67.86,251700,2.93,64.94,242400,162600,43.51,"AT","  15.9","High income","National",2030,203010,20,20301010,492110,492110
"14",14,"AUSTRIA",2014,"AT0000746409",98,1765000,491000,276000,2256000,"E",2825531,3245,12247296,9436551,796393,79.05,560094,17354951,424344,NA,42.66,83.31,58.92,716949,41.25,36.81,833243,440243,-5.63,"AT","  14.4","High income","National",5510,551010,55,55101010,2211,2211
"15",15,"AUSTRIA",2015,"AT0000746409",99,1737000,410000,314000,2147000,"E",2969650,3098,11762993,9201878,804729,64.4,460388,17558378,481119,NA,50.39,86.91,64.32,673979,36.41,36.41,854416,494316,-9.84,"AT","  15.5","High income","National",5510,551010,55,55101010,2211,2211
"16",16,"AUSTRIA",2014,"AT0000APOST4",164,43880,7447,19345,51327,"E",2370500,NA,1602400,597700,172100,2.52,96400,1205900,136900,NA,65.96,42.19,79.59,234600,2.46,65.21,203300,121300,21.81,"AT","  14.4","High income","National",2030,203010,20,20301010,492110,492110
"17",17,"AUSTRIA",2014,"AT0000606306",28,199,181,2340,380,"E",7655578,54730,121339321,1407714,759252,476.31,450457,NA,202712,NA,48.68,77.74,20.48,5332640,81.75,NA,724610,343480,NA,"AT","  14.4","High income","National",NA,NA,NA,NA,NA,NA
"18",18,"AUSTRIA",2015,"AT0000743059",86,12200000,4e+05,1.12e+08,12600000,"E",22527000,24124,31814000,16440000,3275000,80.58,3834000,35581000,5159000,NA,87.26,61.11,80.44,2835000,38.67,10.3,2967000,820000,45.51,"AT","  15.5","High income","National",1010,101020,10,10102010,2111,211111
"19",19,"AUSTRIA",2014,"AT0000937503",137,NA,NA,NA,12258180,"E",11227955,48113,12323938,4771962,1808950,113.31,865925,13387462,595000,NA,47.56,59.37,55.3,917003,52.74,20.44,1151405,566805,5.47,"AT","  14.4","High income","National",1510,151040,15,15104050,331110,331111
"20",20,"AUSTRIA",2017,"AT0000937503",140,NA,NA,NA,12752740,"E",11294500,49703,14493800,6371900,1968900,93.56,1077000,16479600,717800,NA,65.67,61.83,45.74,1150400,47.57,21.66,1321400,609200,7.45,"AT","  17.5","High income","National",1510,151040,15,15104050,331110,331111
"21",21,"AUSTRIA",2012,"AT000000STR1",3,976651,316702,NA,1293350,"E",12983233,74010,9940072,2225572,530361,57.66,477150,5131890,356649,NA,39.81,50.48,33.56,268801,34.29,30.88,464217,45772,12.39,"AT","  16.5","High income","National",2010,201030,20,20103010,237,234
"22",22,"AUSTRIA",2012,"AT0000720008",63,28649,189647,71984,218296,"E",4329703,16446,7090066,2426436,2812078,464.79,738979,11527250,651227,-97751,74.38,68.51,76.67,1047922,82.28,48.81,1415375,451403,-8.44,"AT","  16.5","High income","National",5010,501010,50,50101020,517919,517919
"23",23,"AUSTRIA",2009,"AT0000743059",80,11732400,814900,108555000,12547300,"E",17917267,34676,21237616,11370405,812391,49.25,3229983,19656142,975045,NA,83.3,64.39,77.3,1846742,28.44,17.14,3000274,1931360,20.13,"AT","  16.5","High income","National",1010,101020,10,10102010,2111,211111
"24",24,"AUSTRIA",2012,"AT00000VIE62",15,NA,NA,NA,327488,"E",607372,4306,2061803,1683076,16177,93.68,223477,2674389,109596,NA,37.49,30.45,46.44,179671,48.35,79.17,220533,126106,-2.69,"AT","  16.5","High income","National",2030,203050,20,20305010,48811,48811
"25",25,"AUSTRIA",2011,"AT0000831706",118,NA,NA,NA,2061469,"E",2023706,12755,4080761,1836198,680039,77.36,96867,3778610,185108,NA,32.29,61.47,68.45,146696,43.57,30.49,202483,9412,3.85,"AT","  17.2","High income","National",1510,151020,15,15102010,327120,327121
"26",26,"AUSTRIA",2015,"AT0000606306",29,208,164,2185,372,"E",6988171,51492,114163238,1473291,620912,351.92,415279,NA,180612,NA,51.67,79.05,20,-2204877,76.73,NA,1005695,654219,NA,"AT","  15.5","High income","National",NA,NA,NA,NA,NA,NA
"27",27,"AUSTRIA",2012,"AT0000831706",119,NA,NA,NA,1834073,"E",2355549,12965,4100241,1803067,882060,75.49,120046,3839729,179515,NA,36.42,62.76,72.22,197010,42.97,29.49,174224,-19814,3.45,"AT","  16.5","High income","National",1510,151020,15,15102010,327120,327121
"28",28,"AUSTRIA",2015,"AT0000720008",66,27584,176186,94177,203770,"E",4026582,17673,8097803,2357367,3737567,217.45,757419,11316248,503490,-108390,66.05,73.74,46.67,1072370,68.48,68.46,1296311,498132,-11.57,"AT","  15.5","High income","National",5010,501010,50,50101020,517919,517919
"29",29,"AUSTRIA",2014,"AT0000831706",121,NA,NA,NA,1847000,"E",2834472,14836,3853187,1646275,753184,94.16,106619,3984619,203324,NA,37.6,70.62,38.41,218874,48.22,28.1,278892,63172,7.58,"AT","  14.4","High income","National",1510,151020,15,15102010,327120,327121
"30",30,"AUSTRIA",2013,"AT0000746409",97,2782000,985000,441000,3767000,"E",3181583,3256,12808628,9398608,798930,81.24,659997,16805108,1149313,NA,44.46,82.01,54.05,837418,41.98,44.71,1107445,761145,27.77,"AT","  15.9","High income","National",5510,551010,55,55101010,2211,2211
"31",31,"AUSTRIA",2013,"AT00000VIE62",16,NA,NA,NA,307500,"E",621994,4247,1953937,1629684,13733,71.69,133096,2705692,129416,NA,36.83,27.17,47.38,204354,41.74,74.66,238005,113705,-3.06,"AT","  15.9","High income","National",2030,203050,20,20305010,48811,48811
"32",32,"AUSTRIA",2020,"AT000AGRANA3",176,NA,NA,NA,928007,"E",2480732,9389,2535269,932795,275108,43.59,161190,2444745,110362,NA,56.89,48.75,36.86,109617,29.38,27.4,156595,48289,4,"AT","  16.4","High income","National",3020,302020,30,30202030,31131,31131
"33",33,"AUSTRIA",2020,"AT0000837307",129,4248,17486,NA,21734,"E",1131299,6039,971329,284561,238204,85.46,56561,780960,48653,NA,84.06,32.38,77.43,101239,45.83,35.24,95139,28760,12.94,"AT","  16.4","High income","National",2010,201040,20,20104010,3351,NA
"34",34,"AUSTRIA",2013,"AT0000720008",64,27476,195246,101113,222722,"E",4183949,16045,7736966,2308127,4172175,485.2,728223,11235622,864606,-92513,73.77,71.85,76.9,1050581,82.9,67.17,1247172,382567,-18.93,"AT","  15.9","High income","National",5010,501010,50,50101020,517919,517919
"35",35,"AUSTRIA",2014,"AT000000STR1",5,908584,231242,NA,1139826,"E",12475673,72906,9997414,2015061,535725,55.81,387361,5094563,451114,NA,35.27,47.33,71.24,814613,33.86,31.25,520757,81394,11.92,"AT","  14.4","High income","National",2010,201030,20,20103010,237,234
"36",36,"AUSTRIA",2014,"AT0000743059",85,13100000,3e+05,1.12e+08,13400000,"E",35913000,25501,33482000,18500000,3528000,57.46,4754950,33511000,3058000,NA,84.11,61.1,83.14,3666000,31.18,10.16,4019000,2057000,-63.56,"AT","  14.4","High income","National",1010,101020,10,10102010,2111,211111
"37",37,"AUSTRIA",2014,"AT0000652011",49,32244,65925,25799,98169,"E",9171152,46067,195985865,2264041,1440946,472.57,674000,NA,175313,NA,47.41,79.57,48.76,6297000,77.57,NA,702468,339755,NA,"AT","  14.4","High income","National",NA,NA,NA,NA,NA,NA
"38",38,"AUSTRIA",2020,"AT0000946652",151,NA,NA,NA,10160.2,"E",291159,1131,749984,121362,132171,108.64,31363,448070,55036,NA,39.94,48.22,37.05,94340,52.06,22.69,69066,28690,1.09,"AT","  16.4","High income","National",1010,101010,10,10101020,333132,333132
"39",39,"AUSTRIA",2020,"AT0000741053",78,1565570,1464940,8538600,3030510,"E",2107500,7007,8290300,3703400,216900,28.8,391500,9451400,317300,NA,77.6,78.11,13.43,412000,21.35,28.6,433400,141200,-24.51,"AT","  16.4","High income","National",5510,551010,55,55101010,2211,2211
"40",40,"AUSTRIA",2014,"AT00000VIE62",17,NA,NA,NA,306900,"E",630157,4208,1892223,1561172,10903,51.72,97431,2729860,121091,NA,36.16,34.81,31.02,220591,34.09,75.01,251317,120874,-3.53,"AT","  14.4","High income","National",2030,203050,20,20305010,48811,48811
"41",41,"AUSTRIA",2014,"AT0000720008",65,25853,144989,86555,170842,"E",4017964,16240,8145502,2246115,3759587,259.8,1779085,11168317,1199526,-107214,68.58,74.08,36.48,901886,72.19,67.37,1208172,354346,7.88,"AT","  14.4","High income","National",5010,501010,50,50101020,517919,517919
"42",42,"AUSTRIA",2017,"AT0000641352",38,NA,205,NA,205,"E",288337,378,4766628,3745913,6703,73.09,94106,3756156,3846,NA,54.64,41.1,81.67,101387,42.23,78.27,140900,139138,NA,"AT","  17.5","High income","National",NA,NA,NA,NA,NA,NA
"43",43,"AUSTRIA",2020,"AT0000644505",43,880000,5e+05,1990000,1380000,"E",1632607,7358,4160579,2218074,29669,165.73,244009,4460454,157248,NA,54.2,45.9,40.48,48946,57.1,36.32,157466,-2982,1.25,"AT","  16.4","High income","National",1510,151010,15,15101010,325220,325221
"44",44,"AUSTRIA",2020,"AT000000STR1",11,738708,170076,NA,908784,"E",14749744,74340,11949077,2568397,994517,28.29,647440,6334285,544640,NA,78.8,61.86,66.57,1280355,21.96,33.43,893887,356371,11.03,"AT","  16.4","High income","National",2010,201030,20,20103010,237,234
"45",45,"AUSTRIA",2020,"AT0000652011",55,24929,32562,NA,57492,"E",9323600,45690,276933600,2552100,1358900,410.91,591000,NA,323400,NA,80.26,78.66,84.86,981600,75.31,NA,2702020,2189420,NA,"AT","  16.4","High income","National",NA,NA,NA,NA,NA,NA
"46",46,"AUSTRIA",2020,"AT00000FACC2",13,12566,13416,NA,25982,"E",526891,2655,644335,167890,4468,133.54,17905,345014,23632,NA,66.13,36.58,53.81,3688,57.17,1.94,7729,-15902,5.49,"AT","  16.4","High income","National",2010,201010,20,20101010,3364,3364
"47",47,"AUSTRIA",2015,"AT000000STR1",6,892154,205827,NA,1097980,"E",13123476,73315,10436940,1881520,510801,51.98,346487,5040913,505070,NA,36.95,54.78,64.98,1252648,32.24,30.76,458437,67804,8.44,"AT","  15.5","High income","National",2010,201030,20,20103010,237,234
"48",48,"AUSTRIA",2015,"AT00000VIE62",18,11461,46714,258050,58175,"E",654389,4380,1909656,1515192,8881,48.21,74791,2791780,125211,NA,40.88,51.84,19.65,228413,32.53,75.56,277479,143224,-4.38,"AT","  15.5","High income","National",2030,203050,20,20305010,48811,48811
"49",49,"AUSTRIA",2015,"AT0000652011",50,25493,52175,4332,77668,"E",9337512,46467,199433001,2401868,1464529,402.32,634000,NA,169699,NA,48.31,81.91,45.94,2829000,74.94,NA,2099495,1760396,NA,"AT","  15.5","High income","National",NA,NA,NA,NA,NA,NA
"50",50,"AUSTRIA",2015,"AT0000937503",138,NA,NA,NA,12052080,"E",11189487,47418,12966002,5328422,1818165,101,1010337,14174822,636600,NA,48.82,55.83,54.92,1119875,49.9,20.79,1150344,557744,6.09,"AT","  15.5","High income","National",1510,151040,15,15104050,331110,331111
"51",51,"AUSTRIA",2011,"AT0000720008",62,14172,70400,1500,84572,"E",4454626,17217,7174896,2462174,2909053,447.65,763572,12184850,689148,-53550,65,74.91,73.51,1213275,81.73,50.21,1478615,426239,-6.74,"AT","  17.2","High income","National",5010,501010,50,50101020,517919,517919
"52",52,"AUSTRIA",2019,"AT0000818802",111,NA,NA,1836,NA,"E",847800,9919,583180,192930,48890,72.54,42890,370860,28920,NA,22.04,16.08,15.86,52830,37.14,54.03,65170,37720,5.68,"AT","  17.2","High income","National",2020,202010,20,20201070,722320,722320
"53",53,"AUSTRIA",2020,"AT0000730007",75,25968,108149,NA,134117,"E",6699584,28428,6848974,1170132,983779,121.9,122036,2179136,256028,NA,75.97,75.62,70.38,461286,54.97,41.94,496795,265779,7.22,"AT","  16.4","High income","National",2010,201060,20,20106020,3332,3332
"54",54,"AUSTRIA",2020,"AT0000A00Y78",154,227144,14461,NA,241605,"E",252295,3308,363306,124448,2189,67.59,47244,381947,29393,NA,17.13,10.03,4.86,28159,40.33,15.06,39853,10153,1.38,"AT","  16.4","High income","National",1010,101010,10,10101010,213112,213112
"55",55,"AUSTRIA",2020,"AT0000785555",110,277548,128563,175993,406111,"E",927616,6943,758900,340179,7567,67.19,31870,848045,NA,NA,76.19,29.78,28.29,179604,38.74,27.9,200798,163538,6.92,"AT","  16.4","High income","National",2010,201060,20,20106020,326299,326299
"56",56,"AUSTRIA",2012,"AT0000606306",26,279,115,3317,394,"E",9747368,60084,135662531,1596896,1321011,619.48,364557,NA,184499,NA,49.69,71.34,24.22,2678043,81.35,NA,1467564,1103993,NA,"AT","  16.5","High income","National",NA,NA,NA,NA,NA,NA
"57",57,"AUSTRIA",2012,"AT0000652011",47,38798,86945,32249,125743,"E",12267800,49381,213166000,2228000,2894000,509.76,534000,NA,217100,NA,35.25,83.12,46,2764000,77.59,NA,1805200,1369500,NA,"AT","  16.5","High income","National",NA,NA,NA,NA,NA,NA
"58",58,"AUSTRIA",2010,"AT0000606306",24,224,3720,2651,3944,"E",9581409,59782,130710427,1453630,1219816,792.83,417361,NA,212189,NA,65.44,66.77,21.71,1249476,83.9,NA,1631903,1291621,NA,"AT","  18.2","High income","National",NA,NA,NA,NA,NA,NA
"59",59,"AUSTRIA",2009,"AT0000652011",44,2561,5080,1171,7641,"E",13267800,51799,201257000,2344000,4867000,566.82,554000,NA,216200,NA,36.48,74.3,38.04,3914000,79.38,NA,1721400,1276600,NA,"AT","  16.5","High income","National",NA,NA,NA,NA,NA,NA
"60",60,"AUSTRIA",2020,"ATFREQUENT09",180,NA,NA,NA,634,"E",305984,1907,276526,46605,11906,41.5,4541,87113,15109,NA,59.35,40.55,26.38,42033,28.63,70.22,41159,27122,2.83,"AT","  16.4","High income","National",2010,201010,20,20101010,488111,488111
"61",61,"AUSTRIA",2020,"AT0000A21KS2",157,248,344,137074,592,"E",385635,325,6822397,5044304,24460,103.2,248489,5044304,NA,NA,71.12,57.37,34,117486,50.98,63.61,NA,107951,NA,"AT","  16.4","High income","National",NA,NA,NA,NA,NA,NA
"62",62,"AUSTRIA",2020,"AT0000BAWAG2",171,1158,5205,378,6363,"E",1510100,4071,53119000,332000,552000,372.54,66000,NA,32600,NA,70.71,74.63,60.67,-4523000,78.82,NA,534800,453800,NA,"AT","  16.4","High income","National",NA,NA,NA,NA,NA,NA
"63",63,"AUSTRIA",2020,"AT0000908504",133,13512,15022,118,28534,"E",10442704,25680,48894848,780158,1733077,46.34,387667,NA,NA,NA,60.46,66.58,71.33,341223,27.24,NA,700637,559979,NA,"AT","  16.4","High income","National",NA,NA,NA,NA,NA,NA
"64",64,"AUSTRIA",2020,"AT0000609607",37,132543,29042,904,161585,"E",4651842,20193,3500928,926815,147919,348.88,152322,1748093,166472,NA,80.54,81.96,48.1,166998,76.92,29.48,29040,-137549,25.01,"AT","  16.4","High income","National",2010,201030,20,20103010,238,2362
"65",65,"AUSTRIA",2012,"AT0000APOST4",162,41746,4211,20394,45957,"E",2366100,23181,1636900,599900,249700,3.23,73800,1287800,68300,NA,66.13,43.9,71.33,251000,3.13,64.46,231100,142300,22.28,"AT","  16.5","High income","National",2030,203010,20,20301010,492110,492110
"66",66,"AUSTRIA",2011,"AT0000APOST4",161,39010,25564,20293,64574,"E",2348700,23369,1613700,587500,223700,4.13,45500,1267700,73100,NA,51.33,37.57,73.8,232100,3.97,64.15,232800,149600,14.9,"AT","  17.2","High income","National",2030,203010,20,20301010,492110,492110
"67",67,"AUSTRIA",2011,"AT0000743059",82,11556000,688000,119060000,12244000,"E",34053193,29800,28214988,13981194,3427139,48.51,2087606,24738944,1222272,NA,76.81,72.96,80.75,2514001,26.91,12.68,3919681,2530666,24.99,"AT","  17.2","High income","National",1010,101020,10,10102010,2111,211111
"68",68,"AUSTRIA",2011,"AT0000606306",25,321,2643,3102,2964,"E",9796975,59261,146626982,1511477,1065548,774.86,415293,NA,228785,NA,61.71,66.21,41.49,-1155127,83.79,NA,1944000,1572281,NA,"AT","  17.2","High income","National",NA,NA,NA,NA,NA,NA
"69",69,"AUSTRIA",2013,"AT0000937503",136,NA,NA,NA,11444100,"E",11524401,46351,12735726,4580658,1791039,130.72,552900,12969658,593500,NA,40.49,57.55,35,1321932,56.25,20.03,1183494,596294,5.88,"AT","  15.9","High income","National",1510,151040,15,15104050,331110,331111
"70",70,"AUSTRIA",2017,"AT00000VIE62",20,8455,45732,322735,54187,"E",753185,4639,2062990,1441372,156606,35.91,88363,2986788,132365,NA,54.19,77.92,33.52,277908,24.97,78.99,320799,194345,-12.84,"AT","  17.5","High income","National",2030,203050,20,20305010,48811,48811
"71",71,"AUSTRIA",2019,"AT0000609607",36,123048.58,24566.62,2640.07,147615.2,"E",4880414,19828,3649409,940899,148522,285.96,118014,1660268,167717,NA,68.08,71.33,34.04,249850,73.51,29.37,20641,-143745,22.88,"AT","  17.2","High income","National",2010,201030,20,20103010,238,2362
"72",72,"AUSTRIA",2019,"AT0000743059",90,10600000,4e+05,1.26e+08,1.1e+07,"E",23461000,19845,39689000,16479000,4163000,87.17,3193000,39016000,2430000,NA,82.07,66.5,87.58,4056000,39.25,25.04,5601000,3305000,12.66,"AT","  17.2","High income","National",1010,101020,10,10102010,2111,211111
"73",73,"AUSTRIA",2017,"AT0000652011",52,27967,48969,3357,76936,"E",8558714,47702,220401500,2386767,1523564,337.8,807000,NA,176622,NA,82.74,80.47,43.15,2060000,71.55,NA,2502167,2149145,NA,"AT","  17.5","High income","National",NA,NA,NA,NA,NA,NA
"74",74,"AUSTRIA",2020,"AT0000758305",107,18420,12376,7532920,30796,"E",1533864,10824,1526831,410477,248675,91.73,95641,799139,88373,NA,75.36,65.13,44.1,224669,45.84,22.83,152086,78145,5.28,"AT","  16.4","High income","National",2010,201060,20,20106010,333923,333923
"75",75,"AUSTRIA",2020,"AT0000938204",148,530000,1e+05,NA,630000,"E",2528399,9938,2351870,996472,346347,17.4,136086,2746071,125428,15148,49.78,31.36,50.38,312446,14.79,25.55,379053,243089,4.63,"AT","  16.4","High income","National",1510,151030,15,15103020,322212,322212
"76",76,"AUSTRIA",2020,"AT0000720008",71,21411,288120,445997,309531,"E",4463885,17949,8115487,3606223,2962033,121.71,873872,13656111,681181,NA,75.74,62.97,38.95,1380444,54.88,34.99,1575765,637914,-8.29,"AT","  16.4","High income","National",5010,501010,50,50101020,517919,517919
"77",77,"AUSTRIA",2020,"AT0000746409",104,653000,406000,335000,1059000,"E",3234588,2980,12054202,9518286,668157,22.51,391164,18793786,372210,NA,62.98,91.97,50.76,1190959,16.68,46.44,1258257,879357,-7.48,"AT","  16.4","High income","National",5510,551010,55,55101010,2211,2211
"78",78,"AUSTRIA",2017,"AT0000720008",68,27867,286957,155300,314824,"E",4279728,18957,7311200,2627919,3352220,133.37,816463,11998011,532354,NA,63.06,65.8,37.96,1074969,57.12,31.49,1294592,341156,-244.96,"AT","  17.5","High income","National",5010,501010,50,50101020,517919,517919
"79",79,"AUSTRIA",2018,"AT0000908504",131,NA,NA,NA,32439,"E",10140007,25947,49932671,614495,1960879,64.38,278323,NA,NA,NA,61.76,29.75,71.67,970414,31.55,NA,767220,711481,NA,"AT","  16.7","High income","National",NA,NA,NA,NA,NA,NA
"80",80,"AUSTRIA",2018,"AT0000746409",102,1070000,411000,327000,1481000,"E",2847923,2784,11704798,8957118,644250,41.96,243452,17853518,208440,NA,52.65,89.62,56.11,664115,27.13,37.38,830553,503216,-3.59,"AT","  16.7","High income","National",5510,551010,55,55101010,2211,2211
"81",81,"AUSTRIA",2018,"AT0000609607",35,136738,24124,2034,160862,"E",4959109,19014,3100179,666758,148212,159.9,162517,1287673,124239,NA,35.54,64.94,25,186235,61.3,27.77,15667,-108749,56.5,"AT","  16.7","High income","National",2010,201030,20,20103010,238,2362
"82",82,"AUSTRIA",2018,"AT0000743059",89,11100000,4e+05,1.08e+08,11500000,"E",22930000,20231,36202000,15115000,3317000,80.94,1586000,36861000,1886000,NA,81.45,65.55,86.33,4395000,37.54,23.36,5098000,3380000,9.81,"AT","  16.7","High income","National",1010,101020,10,10102010,2111,211111
"83",83,"AUSTRIA",2018,"AT0000821103",112,3771,6015,374,9786,"E",5622264,12818,28084581,311062,466790,59.79,76857,NA,NA,NA,35.48,16.59,59.67,-4755,35.94,NA,294132,251920,NA,"AT","  16.7","High income","National",NA,NA,NA,NA,NA,NA
"84",84,"AUSTRIA",2018,"AT0000652011",53,27297,35114,NA,62411,"E",9741736,47397,236389643,2292792,1507082,372.7,636000,NA,180166,NA,80.09,80.56,87.22,2235000,73.61,NA,2923407,2550341,NA,"AT","  16.7","High income","National",NA,NA,NA,NA,NA,NA
"85",85,"AUSTRIA",2018,"AT0000A21KS2",155,298,381,NA,679,"E",356646,333,5778971,4292217,24926,86.11,270601,4292217,NA,NA,68.29,48.98,52.78,57542,46.41,57.99,NA,93805,NA,"AT","  16.7","High income","National",NA,NA,NA,NA,NA,NA
"86",86,"AUSTRIA",2018,"AT000000STR1",9,844209,240709,NA,1084918,"E",15221832,75460,11474508,2138575,1094487,37.65,457616,5662590,379482,NA,78.16,64.05,66.33,735451,27.17,30.67,606095,199745,12.64,"AT","  16.7","High income","National",2010,201030,20,20103010,237,234
"87",87,"AUSTRIA",2019,"AT0000946652",150,NA,NA,NA,13288.3,"E",445256,1535,848724,146647,166706,79.39,35580,483285,48390,NA,38.77,50.44,24.75,98146,44.24,29.77,103243,55338,1.73,"AT","  17.2","High income","National",1010,101010,10,10101020,333132,333132
"88",88,"AUSTRIA",2019,"AT0000938204",147,530000,1e+05,NA,630000,"E",2544409,10014,2380199,1034471,358996,22.98,129963,2758026,123030,-2844,54.53,30.64,51.62,325007,18.63,24.64,382518,248189,5.24,"AT","  17.2","High income","National",1510,151030,15,15103020,322212,322212
"89",89,"AUSTRIA",2019,"AT0000652250",57,NA,28634,NA,28634,"E",271709,623,3136611,2339663,242,110.39,169285,2433368,8183,NA,49.48,16.91,53.84,58166,52.41,58.98,110480,102216,NA,"AT","  17.2","High income","National",NA,NA,NA,NA,NA,NA
"90",90,"AUSTRIA",2019,"AT0000908504",132,16213,18714,932,34927,"E",10800971,25736,48992765,815307,1939579,43.61,432587,NA,NA,NA,59.58,30.31,67.37,1221286,26.58,NA,740974,639941,NA,"AT","  17.2","High income","National",NA,NA,NA,NA,NA,NA
"91",91,"AUSTRIA",2012,"AT0000746409",96,3087000,1053000,464000,4140000,"E",3174300,3100,12387300,7385800,662100,96.92,564986,14056900,272700,NA,42.25,72.31,70,1034709,45.63,47.36,1189400,911400,99.51,"AT","  16.5","High income","National",5510,551010,55,55101010,2211,2211
"92",92,"AUSTRIA",2018,"AT0000831706",125,NA,NA,NA,2312000,"E",3305079,16596,3688834,1575709,712719,65.98,163186,4282696,186465,NA,43.99,84.94,88.56,322464,39.74,33.24,379296,194074,6.82,"AT","  16.7","High income","National",1510,151020,15,15102010,327120,327121
"93",93,"AUSTRIA",2012,"AT0000937503",135,NA,NA,NA,12645240,"E",12058200,42912,12242300,4378300,1743200,124.44,298000,12363500,524100,NA,36.62,58.31,34,856500,54.99,19.58,1216300,619500,10.1,"AT","  16.5","High income","National",1510,151040,15,15104050,331110,331111
"94",94,"AUSTRIA",2012,"AT0000743059",83,10991000,583000,171878000,11574000,"E",42649231,28658,30219252,14347110,3479574,44.56,2462284,26036237,1439353,NA,80.82,76.76,89.56,3812967,25.5,12.15,4957656,3352022,19.66,"AT","  16.5","High income","National",1010,101020,10,10102010,2111,211111
"95",95,"AUSTRIA",2016,"AT0000743059",87,1.1e+07,4e+05,1.13e+08,11400000,"E",19260000,22544,31273000,14613000,1713000,86.45,2978000,34987000,3898000,NA,87.64,67,86.46,2878000,39.1,13.21,3006000,948000,20.51,"AT","  16.2","High income","National",1010,101020,10,10102010,2111,211111
"96",96,"AUSTRIA",2016,"AT0000938204",144,5e+05,NA,NA,5e+05,"E",2272734,9927,1954694,792650,129207,20.83,130405,2298460,92666,-1735,33.33,27.34,43.96,217207,17.16,23.22,300962,201897,3.43,"AT","  16.2","High income","National",1510,151030,15,15103020,322212,322212
