Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ADDTECH AB - NET SALES OR REVENUES,SE0014781795(WC01001),SK,4198000,4445000,3680000,4418000,5200000,5403000,6089000,6776000,6155000,7178000,8022000,10148000,11735000
ADDTECH AB - EMPLOYEES,SE0014781795(WC07011),SK,1537,1426,1323,1512,1700,1815,2150,2286,2076,2176,2358,2759,2981
ADEVINTA - NET SALES OR REVENUES,NO0010844038(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,NA,3893613,4795884,5724737,6698424,7237478
ADEVINTA - EMPLOYEES,NO0010844038(WC07011),NK,NA,NA,NA,NA,NA,NA,NA,NA,2501,3230,3637,3564,4010
ADIDAS AG - NET SALES OR REVENUES,DE000A1EWWW0(WC01001),E,10799000,10381000,11990000,13344000,14883000,14492000,14534000,16915000,19291000,21218000,21915000,23640000,19844000
ADIDAS AG - EMPLOYEES,DE000A1EWWW0(WC07011),E,38982,39596,42541,40637,40168,43537,53731,55555,60617,56888,57016,59533,62285
ADLER GROUP SA - NET SALES OR REVENUES,LU1250154413(WC01001),E,NA,NA,NA,NA,15698,22673,34329,75753,109775,128852,154853,156520,758737
ADLER GROUP SA - EMPLOYEES,LU1250154413(WC07011),E,NA,NA,NA,NA,47,83,121,228,247,295,354,366,1787
ADLER REAL ESTATE AG - NET SALES OR REVENUES,DE0005008007(WC01001),E,9174,4463,1267,7601,5719,19235,140703,384793,412812,303242,424663,904185,1191194
ADLER REAL ESTATE AG - EMPLOYEES,DE0005008007(WC07011),E,24,15,8,7,10,16,102,268,354,555,828,922,843
AEROPORTS DE PARIS - NET SALES OR REVENUES,FR0010340141(WC01001),E,2527031,2633434,2739005,2501514,2640450,2754457,2791000,2916000,2947000,3617000,4478000,4700000,2137000
AEROPORTS DE PARIS - EMPLOYEES,FR0010340141(WC07011),E,11789,12096,12219,9092,9035,9026,8966,8996,8947,17422,22366,26122,24447
ADVA AG - NET SALES OR REVENUES,DE0005103006(WC01001),E,217672,232808,291725,310945,330069,310702,339168,441938,566686,514471,501981,556821,564958
ADVA AG - EMPLOYEES,DE0005103006(WC07011),E,1042,1100,1203,1304,1378,1425,1491,1524,1764,1894,1886,1903,1870
ADYEN NV - NET SALES OR REVENUES,NL0012969182(WC01001),E,NA,NA,NA,NA,NA,NA,153675,331101,659361,1012440,1652948,2656774,3641389
ADYEN NV - EMPLOYEES,NL0012969182(WC07011),E,NA,NA,NA,NA,NA,NA,NA,338,464,668,873,1182,1747
AEDAS HOMES SA - NET SALES OR REVENUES,ES0105287009(WC01001),E,NA,NA,NA,NA,NA,NA,NA,NA,15,38694,79823,311654,280588
AEDAS HOMES SA - EMPLOYEES,ES0105287009(WC07011),E,NA,NA,NA,NA,NA,NA,NA,NA,84,126,176,217,NA
AEDIFICA NV - NET SALES OR REVENUES,BE0003851681(WC01001),E,20806,24836,24256,29384,35311,37587,40613,50281,60518,80394,92386,125693,170401
AEDIFICA NV - EMPLOYEES,BE0003851681(WC07011),E,26,25,26,27,31,31,38,35,44,48,66,55,105
AEGEAN AIRLINES S.A. - NET SALES OR REVENUES,GRS495003006(WC01001),E,611693,622713,591004,668218,653388,698917,911794,982964,1020313,1127625,1187440,1308783,415104
AEGEAN AIRLINES S.A. - EMPLOYEES,GRS495003006(WC07011),E,2142,2463,1949,1615,1347,1909,1988,2344,2334,2493,2703,2924,2312
AEGON N.V. - NET SALES OR REVENUES,NL0000303709(WC01001),E,34201000,30052000,32342000,29320000,30977000,48252000,46895000,35093000,37738000,38233000,32572000,32328000,29822000
AEGON N.V. - EMPLOYEES,NL0000303709(WC07011),E,31425,28382,27474,25288,24407,23474,28602,31530,29380,28318,26543,23757,22322
AENA SME SA - NET SALES OR REVENUES,ES0105046009(WC01001),E,NA,NA,NA,2418834,2605919,2883930,3084177,3459185,3709581,3960582,4201406,4443560,2180616
AENA SME SA - EMPLOYEES,ES0105046009(WC07011),E,NA,NA,NA,8760,8441,7320,7283,7940,7964,8174,8366,8695,8961
