"ISIN","year","cur_rat","stlt_lia","cogs"
"DE000KGX8881","2020",0.89,1362500,5380700
"DE000LED4000","2008",NA,NA,NA
"DE000LED4000","2009",NA,NA,NA
"DE000LED4000","2010",1.17,24700,2834500
"DE000LED4000","2011",1.01,22400,3165400
"DE000LED4000","2012",1.23,47200,3342300
"DE000LED4000","2013",1.77,55900,3456100
"DE000LED4000","2014",1.83,43600,3256700
"DE000LED4000","2015",1.9,37400,3663600
"DE000LED4000","2016",1.6,20000,2222000
"DE000LED4000","2017",1.64,16000,2468000
"DE000LED4000","2018",1.28,233000,2535000
"DE000LED4000","2019",1.03,539000,2266000
"DE000LED4000","2020",0.93,714000,1974000
"DE000NWRK013","2008",2.42,122,8838
"DE000NWRK013","2009",2.1,0,15225
"DE000NWRK013","2010",2.14,0,17388
"DE000NWRK013","2011",1.42,0,22552
"DE000NWRK013","2012",1.89,0,30512
"DE000NWRK013","2013",1.86,0,0
"DE000NWRK013","2014",1.43,0,0
"DE000NWRK013","2015",1.55,0,0
"DE000NWRK013","2016",1.34,0,0
"DE000NWRK013","2017",0.65,0,0
"DE000NWRK013","2018",0.76,4776,0
"DE000NWRK013","2019",0.6,5968,-24926
"DE000NWRK013","2020",0.66,6485,-23637
"DE000SHA0159","2008",NA,NA,NA
"DE000SHA0159","2009",NA,NA,NA
"DE000SHA0159","2010",NA,NA,NA
"DE000SHA0159","2011",NA,NA,NA
"DE000SHA0159","2012",1.9,121000,7218000
"DE000SHA0159","2013",1.45,225000,7382000
"DE000SHA0159","2014",1.91,1000,8007000
"DE000SHA0159","2015",1.82,3000,8754000
"DE000SHA0159","2016",1.74,3000,8823000
"DE000SHA0159","2017",1.62,2000,9408000
"DE000SHA0159","2018",1.57,160000,9738000
"DE000SHA0159","2019",1.49,218000,9886000
"DE000SHA0159","2020",1.75,93000,8685000
"DE000STRA555","2008",4.47,447,36785
"DE000STRA555","2009",3.65,488,51608
"DE000STRA555","2010",4.17,588,68891
"DE000STRA555","2011",4.78,777,78208
"DE000STRA555","2012",4.55,1183,79093
"DE000STRA555","2013",5.52,1894,80553
"DE000STRA555","2014",5.77,2449,94496
"DE000STRA555","2015",5.79,1492,89911
"DE000STRA555","2016",1.12,69008,117454
"DE000STRA555","2017",4.08,971,130616
"DE000STRA555","2018",3.26,1008,114160
"DE000STRA555","2019",3.62,3454,145950
"DE000STRA555","2020",4.38,5303,162624
"DE000SYM9999","2008",1.08,347353,692357
"DE000SYM9999","2009",1.22,288611,708293
"DE000SYM9999","2010",1.63,173977,803444
"DE000SYM9999","2011",1.96,133715,848530
"DE000SYM9999","2012",2.26,104118,948024
"DE000SYM9999","2013",2.66,37130,969509
"DE000SYM9999","2014",2.14,112065,1099677
"DE000SYM9999","2015",2.75,28138,1316743
"DE000SYM9999","2016",1.59,528889,1507511
"DE000SYM9999","2017",2.76,83282,1573249
"DE000SYM9999","2018",1.51,616658,1716009
"DE000SYM9999","2019",1.83,518525,1814086
"DE000SYM9999","2020",3.5,24797,1875409
"DE000UNSE018","2008",NA,NA,NA
"DE000UNSE018","2009",NA,NA,NA
"DE000UNSE018","2010",NA,NA,NA
"DE000UNSE018","2011",NA,NA,NA
"DE000UNSE018","2012",NA,NA,NA
"DE000UNSE018","2013",1.14,8307000,92212000
"DE000UNSE018","2014",1.16,8161000,88562000
"DE000UNSE018","2015",1,10551000,93694000
"DE000UNSE018","2016",1.04,494000,66908000
"DE000UNSE018","2017",1.09,962000,69909000
"DE000UNSE018","2018",1,1752000,75480000
"DE000UNSE018","2019",1.06,815000,64351000
"DE000UNSE018","2020",1.04,716000,49111000
"DE000WACK012","2008",2.57,87618,533931
"DE000WACK012","2009",3.73,26587,352544
"DE000WACK012","2010",3.21,18067,465992
"DE000WACK012","2011",2.06,92075,619835
"DE000WACK012","2012",2.53,98290,703415
"DE000WACK012","2013",2.95,62126,748905
"DE000WACK012","2014",2.85,67123,861291
"DE000WACK012","2015",2.53,99683,943444
"DE000WACK012","2016",1.88,193391,936662
"DE000WACK012","2017",3.31,20300,1077800
"DE000WACK012","2018",2.85,35200,1212300
"DE000WACK012","2019",2.87,138100,1401900
"DE000WACK012","2020",3.65,35100,1163200
"DE000ZAL1111","2008",NA,NA,NA
"DE000ZAL1111","2009",NA,NA,NA
"DE000ZAL1111","2010",NA,NA,NA
"DE000ZAL1111","2011",1.5,0,268881
"DE000ZAL1111","2012",2.08,3243,606364
"DE000ZAL1111","2013",1.81,3243,1032016
"DE000ZAL1111","2014",2.53,3200,1229200
"DE000ZAL1111","2015",2.29,3200,1589700
"DE000ZAL1111","2016",1.95,3200,1981400
"DE000ZAL1111","2017",1.76,2800,2470900
"DE000ZAL1111","2018",1.53,2800,3020500
"DE000ZAL1111","2019",1.36,70800,3529400
"DE000ZAL1111","2020",1.68,451400,4377000
"DK0010181759","2008",0.75,5291000,28404000
"DK0010181759","2009",0.59,3322000,27616000
"DK0010181759","2010",0.57,3959000,26254000
"DK0010181759","2011",0.71,1875000,29121000
"DK0010181759","2012",0.77,3352000,29840000
"DK0010181759","2013",0.59,9525000,29639000
"DK0010181759","2014",0.66,1835000,28622000
"DK0010181759","2015",0.56,4549000,28755000
"DK0010181759","2016",0.49,9067000,26453000
"DK0010181759","2017",0.61,849000,27188000
"DK0010181759","2018",0.52,7233000,28461000
"DK0010181759","2019",0.54,4112000,30627000
"DK0010181759","2020",0.67,959000,27474000
"DK0010219153","2008",1.89,80000,8932000
"DK0010219153","2009",1.69,162000,7697000
"DK0010219153","2010",1.39,386000,7911000
"DK0010219153","2011",1.23,609000,9619000
"DK0010219153","2012",1.42,448000,5459000
"DK0010219153","2013",1.11,1109000,5454000
"DK0010219153","2014",0.99,1839796,5986010
"DK0010219153","2015",1.08,1311711,5666921
"DK0010219153","2016",1.76,20077,5419285
"DK0010219153","2017",2.18,20088,6006629
"DK0010219153","2018",2.22,67199,6701182
"DK0010219153","2019",2.09,186747,6935542
"DK0010219153","2020",1.65,885322,6297836
"DK0010244508","2008",0.98,11968000,230571000
"DK0010244508","2009",0.93,12074000,209668000
"DK0010244508","2010",1.16,12641000,225594000
"DK0010244508","2011",1.12,12914000,245221000
"DK0010244508","2012",1.15,26860000,152571000
"DK0010244508","2013",1.36,25682000,145761000
"DK0010244508","2014",1.69,8690832,143178005
"DK0010244508","2015",1.16,9174000,148099459
"DK0010244508","2016",1.04,14204138,139672200
"DK0010244508","2017",1.63,15121609,137312209
"DK0010244508","2018",1.65,12963082,177117701
"DK0010244508","2019",1.19,13346209,221426518
"DK0010244508","2020",1.27,13094072,207016194
"DK0010253921","2008",1.37,1492600,7586500
"DK0010253921","2009",1.09,1556500,6521200
"DK0010253921","2010",1.17,1642400,7361000
"DK0010253921","2011",1.11,2287000,9502700
"DK0010253921","2012",1.21,1559400,9949400
"DK0010253921","2013",1.92,438500,9645000
"DK0010253921","2014",1.91,315700,9753100
"DK0010253921","2015",1.93,3e+05,10283700
"DK0010253921","2016",1.81,320900,11615500
"DK0010253921","2017",1.62,439700,13816300
"DK0010253921","2018",1.49,1309000,14798000
"DK0010253921","2019",1.54,909000,17074000
"DK0010253921","2020",1.43,856000,17211000
"DK0010287234","2008",2.95,22500,1134400
"DK0010287234","2009",1.36,804000,2445000
"DK0010287234","2010",1.67,0,2700000
"DK0010287234","2011",1.87,13000,3010000
"DK0010287234","2012",1.84,19000,3139000
"DK0010287234","2013",1.74,18000,2849000
"DK0010287234","2014",1.3,84000,2953000
"DK0010287234","2015",0.99,83000,4028000
"DK0010287234","2016",0.97,188000,3036000
"DK0010287234","2017",1.37,0,2800000
"DK0010287234","2018",1.54,0,2530000
"DK0010287234","2019",0.88,2079000,2364000
"DK0010287234","2020",1.01,2077000,2272000
"DK0060252690","2008",1.48,298737,635899
"DK0060252690","2009",2.2,271619,1058524
"DK0060252690","2010",1.14,2326000,1931000
"DK0060252690","2011",1.76,10000,1780000
"DK0060252690","2012",1.95,7000,2202000
"DK0060252690","2013",1.67,49000,2970000
"DK0060252690","2014",1.48,10000,3470000
"DK0060252690","2015",1.37,257000,4332000
"DK0060252690","2016",1.45,3000,4968000
"DK0060252690","2017",1.56,164000,5693000
"DK0060252690","2018",1.36,248000,5683000
"DK0060252690","2019",0.84,2069000,3608000
"DK0060252690","2020",0.71,3996000,3003000
"DK0060907293","2008",NA,NA,NA
"DK0060907293","2009",NA,NA,NA
"DK0060907293","2010",NA,NA,NA
"DK0060907293","2011",NA,NA,NA
"DK0060907293","2012",NA,NA,NA
"DK0060907293","2013",NA,NA,NA
"DK0060907293","2014",1.56,981671,NA
"DK0060907293","2015",1.08,2225730,4266042
"DK0060907293","2016",1.11,2070884,4557380
"DK0060907293","2017",1.74,59520,4562807
"DK0060907293","2018",1.68,58239,4474660
"DK0060907293","2019",1.55,216627,4011267
"DK0060907293","2020",1.01,950047,3448531
"DK0061135753","2008",NA,NA,NA
"DK0061135753","2009",NA,NA,NA
"DK0061135753","2010",NA,NA,NA
"DK0061135753","2011",NA,NA,NA
"DK0061135753","2012",NA,NA,NA
"DK0061135753","2013",NA,NA,NA
"DK0061135753","2014",NA,NA,NA
"DK0061135753","2015",NA,NA,NA
"DK0061135753","2016",12.57,98689,5570164
"DK0061135753","2017",1.96,10126576,4505679
"DK0061135753","2018",1.73,618530,4643512
"DK0061135753","2019",1.45,906183,4742182
"DK0061135753","2020",1.2,828662,4709934
"DK0061277894","2008",1.72,635000,3663000
"DK0061277894","2009",2,475000,4663000
"DK0061277894","2010",2.24,354000,2672000
"DK0061277894","2011",1.53,764000,4291000
"DK0061277894","2012",1.39,1076000,5656000
"DK0061277894","2013",1.15,308000,1295000
"DK0061277894","2014",1.01,223000,1606000
"DK0061277894","2015",1.31,12684,1803688
"DK0061277894","2016",1.34,92948,1646403
"DK0061277894","2017",1.09,212042,1480271
"DK0061277894","2018",0.91,277756,1050274
"DK0061277894","2019",6.6,0,4479
"DK0061277894","2020",16.4,0,0
"DK0061412855","2008",NA,NA,NA
"DK0061412855","2009",NA,NA,NA
"DK0061412855","2010",NA,NA,NA
"DK0061412855","2011",NA,NA,NA
"DK0061412855","2012",NA,NA,NA
"DK0061412855","2013",NA,NA,NA
"DK0061412855","2014",NA,NA,NA
"DK0061412855","2015",NA,NA,NA
"DK0061412855","2016",NA,NA,NA
"DK0061412855","2017",1.32,530276,685293
"DK0061412855","2018",1.25,746137,959789
"DK0061412855","2019",1.17,1031162,1461274
"DK0061412855","2020",1.54,21011,1182475
"ES0105027009","2008",NA,NA,NA
"ES0105027009","2009",NA,NA,NA
"ES0105027009","2010",NA,NA,NA
"ES0105027009","2011",0.89,5857,4943506
"ES0105027009","2012",0.9,5327,4802309
"ES0105027009","2013",0.82,3729,8851304
"ES0105027009","2014",0.81,2623,8469910
"ES0105027009","2015",0.82,7,8460714
"ES0105027009","2016",0.84,33627,8593853
"ES0105027009","2017",0.85,34371,8443546
"ES0105027009","2018",0.86,32850,8358187
"ES0105027009","2019",0.87,37551,8999094
"ES0105027009","2020",0.88,77386,9400494
"ES0105223004","2008",NA,NA,NA
"ES0105223004","2009",NA,NA,NA
"ES0105223004","2010",NA,NA,NA
"ES0105223004","2011",NA,NA,NA
"ES0105223004","2012",1.1,568518,3836059
"ES0105223004","2013",1.38,412089,3816799
"ES0105223004","2014",1.32,355491,4139517
"ES0105223004","2015",1.18,322917,4638807
"ES0105223004","2016",1.06,454372,4851352
"ES0105223004","2017",1.22,577610,5332529
"ES0105223004","2018",1.29,284277,5513461
"ES0105223004","2019",1.32,243175,5910947
"ES0105223004","2020",1.33,893923,4907069
"ES0116870314","2008",0.78,968000,10679000
"ES0116870314","2009",1.06,2901000,10603000
"ES0116870314","2010",1.32,2184000,15097000
"ES0116870314","2011",1.27,2907000,16337000
"ES0116870314","2012",1.48,2439000,19702000
"ES0116870314","2013",1.25,3450000,18699000
"ES0116870314","2014",1.28,2827000,18893000
"ES0116870314","2015",1.2,2645000,19601000
"ES0116870314","2016",1.14,2684000,17174000
"ES0116870314","2017",1.46,2636000,17819000
"ES0116870314","2018",1.19,2181000,19120000
"ES0116870314","2019",1.32,2258000,17526000
"ES0116870314","2020",1.4,2533000,11178000
"ES0130670112","2008",1.41,1381000,13995000
"ES0130670112","2009",1.01,929000,16283000
"ES0130670112","2010",1.58,985000,21467000
"ES0130670112","2011",1.51,1070000,23199000
"ES0130670112","2012",1.33,971000,17389000
"ES0130670112","2013",1.21,982000,20462000
"ES0130670112","2014",0.93,0,15861000
"ES0130670112","2015",0.85,0,14716000
"ES0130670112","2016",0.72,1144000,13210000
"ES0130670112","2017",0.73,978000,14347000
"ES0130670112","2018",0.73,1046000,14297000
"ES0130670112","2019",0.72,954000,13962000
"ES0130670112","2020",0.73,1372000,11390000
"ES0130960018","2008",0.66,514735,78013
"ES0130960018","2009",1.23,503763,68652
"ES0130960018","2010",1.47,730847,76246
"ES0130960018","2011",1.01,1601691,76202
"ES0130960018","2012",2.42,559370,286
"ES0130960018","2013",1.43,488890,106702
"ES0130960018","2014",0.9,932566,112847
"ES0130960018","2015",1.06,389351,102459
"ES0130960018","2016",0.94,904424,101264
"ES0130960018","2017",2.5,202747,107794
"ES0130960018","2018",2.8,336145,112869
"ES0130960018","2019",2.97,124433,106383
"ES0130960018","2020",2.09,180842,29916
"ES0132945017","2008",1.54,209144,507911
"ES0132945017","2009",1.41,152124,320607
"ES0132945017","2010",1.25,211712,308030
"ES0132945017","2011",1.21,225269,428001
"ES0132945017","2012",1.67,153990,412064
"ES0132945017","2013",1.45,133558,419009
"ES0132945017","2014",1.64,113162,402253
"ES0132945017","2015",1.43,172168,418980
"ES0132945017","2016",1.36,189608,393661
"ES0132945017","2017",1,328737,450693
"ES0132945017","2018",1.16,305983,588066
"ES0132945017","2019",1.14,254160,484691
"ES0132945017","2020",1.27,231545,404978
"ES0148396007","2008",1.21,371276,6414237
"ES0148396007","2009",1.37,234037,7224285
"ES0148396007","2010",1.71,35058,7681169
"ES0148396007","2011",1.94,2682,8386078
"ES0148396007","2012",2.01,686,9245126
"ES0148396007","2013",1.92,2437,10479555
"ES0148396007","2014",1.95,2521,11155551
"ES0148396007","2015",1.9,7823,12376691
"ES0148396007","2016",1.81,10254,14233819
"ES0148396007","2017",1.82,61696,15895753
"ES0148396007","2018",1.96,12000,19153000
"ES0148396007","2019",1.97,84000,19843000
"ES0148396007","2020",1.56,1675000,19502000
"ES0152503035","2008",1.1,0,251307
"ES0152503035","2009",0.64,75637,261578
"ES0152503035","2010",0.83,71012,328766
"ES0152503035","2011",0.84,61774,373490
"ES0152503035","2012",0.99,226,424799
"ES0152503035","2013",1.24,678,369785
"ES0152503035","2014",1.97,239,545162
"ES0152503035","2015",1.62,1539,521084
"ES0152503035","2016",1.53,2162,521036
"ES0152503035","2017",1.35,636,525056
"ES0152503035","2018",1.66,44,527721
"ES0152503035","2019",1.56,906,503638
"ES0152503035","2020",2.63,1075,436285
"ES0161560018","2008",0.72,184047,757689
"ES0161560018","2009",0.79,394809,685500
"ES0161560018","2010",0.57,508364,1144984
"ES0161560018","2011",0.36,831538,1212901
"ES0161560018","2012",0.28,857632,1201853
"ES0161560018","2013",0.92,99705,736291
"ES0161560018","2014",1.14,74428,698549
"ES0161560018","2015",0.91,78885,729320
"ES0161560018","2016",1.1,25459,766534
"ES0161560018","2017",0.65,257919,800356
"ES0161560018","2018",1.33,4954,812574
"ES0161560018","2019",0.85,256222,609174
"ES0161560018","2020",0.84,276689,303244
"ES0164180012","2008",1.61,11931,103116
"ES0164180012","2009",1.65,14792,89659
"ES0164180012","2010",2.26,8799,105715
"ES0164180012","2011",3.07,8081,110281
"ES0164180012","2012",2.89,5679,59144
"ES0164180012","2013",2.39,7118,69064
"ES0164180012","2014",2.08,11459,76110
"ES0164180012","2015",2.25,12187,86143
"ES0164180012","2016",2.55,10813,88903
"ES0164180012","2017",2.81,10849,98892
"ES0164180012","2018",3.03,8692,104143
"ES0164180012","2019",2.92,15793,101419
"ES0164180012","2020",3.03,18511,114346
"ES0171996087","2008",1.97,157232,409936
"ES0171996087","2009",3.36,126221,470231
"ES0171996087","2010",2.7,209871,541208
"ES0171996087","2011",2.99,162296,941282
"ES0171996087","2012",3.26,189335,1171912
"ES0171996087","2013",2.99,248706,1254789
"ES0171996087","2014",2.7,162801,1574944
"ES0171996087","2015",2.93,186354,1905455
"ES0171996087","2016",2.91,203944,2010541
"ES0171996087","2017",3.01,133067,2030876
"ES0171996087","2018",2.77,261120,2290634
"ES0171996087","2019",3.92,319544,2622749
"ES0171996087","2020",2.37,373250,2886563
"ES0173516115","2008",1.35,1750000,48355000
"ES0173516115","2009",1.23,3671000,39119000
"ES0173516115","2010",1.39,4585000,44635000
"ES0173516115","2011",1.19,5208000,51163000
"ES0173516115","2012",1.51,4014000,51845000
"ES0173516115","2013",1.52,4634000,49135000
"ES0173516115","2014",1.66,1492000,43137000
"ES0173516115","2015",0.88,4290000,35973000
"ES0173516115","2016",1.08,3900000,26832000
"ES0173516115","2017",1.23,4140000,33050000
"ES0173516115","2018",1.35,4416000,41361000
"ES0173516115","2019",1.09,6443000,40007000
"ES0173516115","2020",1.29,3624000,28364000
"ES0175438003","2008",1.19,197062,245018
"ES0175438003","2009",1.08,199890,1698432
"ES0175438003","2010",1.16,360416,2037080
"ES0175438003","2011",1.32,196315,2238373
"ES0175438003","2012",1.22,295837,2965582
"ES0175438003","2013",1.3,195727,3257212
"ES0175438003","2014",1.29,251634,3360132
"ES0175438003","2015",1.11,338249,3513318
"ES0175438003","2016",1.57,358383,3450057
"ES0175438003","2017",1.35,701046,3774539
"ES0175438003","2018",1.95,114270,3490880
"ES0175438003","2019",1.5,235569,3677947
"ES0175438003","2020",1.37,302304,3242359
"ES0178165017","2008",1.09,46947,1681717
"ES0178165017","2009",1.14,6965,2014943
"ES0178165017","2010",1.12,34283,2496676
"ES0178165017","2011",1.14,5336,2353144
"ES0178165017","2012",1.17,3115,1768158
"ES0178165017","2013",1.19,4126,1945615
"ES0178165017","2014",1.19,3764,2059112
"ES0178165017","2015",1.09,81808,3022408
"ES0178165017","2016",1.11,84923,3406953
"ES0178165017","2017",1.09,292219,4051006
"ES0178165017","2018",1.11,99402,3436647
"ES0178165017","2019",1.03,311021,3679500
"ES0178165017","2020",1.05,379391,2594733
"ES0180918015","2008",1.41,871373,1338232
"ES0180918015","2009",2.07,412164,1013718
"ES0180918015","2010",2.11,377801,764719
"ES0180918015","2011",2.21,374705,669183
"ES0180918015","2012",2.21,387815,632700
"ES0180918015","2013",0.69,1592246,675157
"ES0180918015","2014",1.07,76364,377570
"ES0180918015","2015",1.4,46988,445098
"ES0180918015","2016",1.38,60837,520379
"ES0180918015","2017",1.3,62492,588229
"ES0180918015","2018",1.06,174649,645979
"ES0180918015","2019",1.23,50823,845320
"ES0180918015","2020",1.25,51484,839016
"ES0182870214","2008",0.94,5446474,4851627
"ES0182870214","2009",1.01,2697791,5425616
"ES0182870214","2010",0.55,7789708,4379893
"ES0182870214","2011",1.01,2341403,3589093
"ES0182870214","2012",0.9,2749793,3148465
"ES0182870214","2013",0.77,1444558,2744349
"ES0182870214","2014",0.51,3445304,2516675
"ES0182870214","2015",1.05,850612,2659883
"ES0182870214","2016",1.1,829062,2555112
"ES0182870214","2017",1.27,921205,2760643
"ES0182870214","2018",1.12,1097331,3397966
"ES0182870214","2019",1.01,970207,3634401
"ES0182870214","2020",0.98,789479,2941364
"FI0009000202","2008",1.4,293600,8862700
"FI0009000202","2009",1.56,194200,7831500
"FI0009000202","2010",1.49,241500,8067300
"FI0009000202","2011",1.33,189700,8733700
"FI0009000202","2012",1.4,174100,8363100
"FI0009000202","2013",1.43,199300,8033800
"FI0009000202","2014",1.41,179600,7832300
"FI0009000202","2015",1.54,180800,7540400
"FI0009000202","2016",1.33,156000,8686300
"FI0009000202","2017",1.19,404600,9147300
"FI0009000202","2018",1.2,233400,8983900
"FI0009000202","2019",1.03,521000,9190600
"FI0009000202","2020",0.97,495300,9155200
"FI0009000400","2008",0.93,183700,414800
"FI0009000400","2009",0.8,199700,408200
"FI0009000400","2010",0.91,130100,438700
"FI0009000400","2011",1.02,82500,457800
"FI0009000400","2012",1.37,20400,453500
"FI0009000400","2013",0.95,108800,446100
"FI0009000400","2014",3.22,128900,428500
"FI0009000400","2015",2.79,86700,653600
"FI0009000400","2016",3.54,10900,664600
"FI0009000400","2017",3.43,48500,634900
"FI0009000400","2018",3.28,9600,598200
"FI0009000400","2019",1.17,131600,565900
"FI0009000400","2020",1.27,83900,600400
"FI0009003727","2008",1.24,216000,3421000
"FI0009003727","2009",1.41,73000,3854000
"FI0009003727","2010",1.46,56000,3266000
"FI0009003727","2011",1.39,167000,3039000
"FI0009003727","2012",1.28,249000,3451000
"FI0009003727","2013",1.35,94000,2279000
"FI0009003727","2014",1.38,129000,2575000
"FI0009003727","2015",1.37,232000,2515000
"FI0009003727","2016",1.5,108000,2394000
"FI0009003727","2017",1.43,102000,2460000
"FI0009003727","2018",1.46,74000,2584000
"FI0009003727","2019",1.46,99000,2719000
"FI0009003727","2020",1.47,198000,2710000
"FI0009004824","2008",0.9,559300,2569200
"FI0009004824","2009",1.14,437600,2176000
"FI0009004824","2010",1.45,128300,1876600
"FI0009004824","2011",1.27,237100,1519400
"FI0009004824","2012",1.08,277200,1600700
"FI0009004824","2013",0.98,278400,1593400
"FI0009004824","2014",1.31,156900,1687400
"FI0009004824","2015",1.4,122700,1859800
"FI0009004824","2016",1.34,157900,1851100
"FI0009004824","2017",1.3,191400,1961100
"FI0009004824","2018",1.23,240000,2048400
"FI0009004824","2019",1.11,216600,2072700
"FI0009004824","2020",1.15,194700,1819200
"FI0009005318","2008",3.74,37800,526900
"FI0009005318","2009",3.39,72400,432400
"FI0009005318","2010",4.05,13000,551400
"FI0009005318","2011",2.69,253400,743000
"FI0009005318","2012",5.48,42000,835500
"FI0009005318","2013",2.84,182400,745300
"FI0009005318","2014",4.19,600,699300
"FI0009005318","2015",4.05,19900,671000
"FI0009005318","2016",3.92,88800,659000
"FI0009005318","2017",4.87,800,766200
"FI0009005318","2018",2.31,126000,794200
"FI0009005318","2019",3.98,30900,836500
"FI0009005318","2020",2.34,229700,826700
"FI0009007132","2008",1.8,980000,2770000
"FI0009007132","2009",1.2,857000,2518000
"FI0009007132","2010",0.75,862000,3353000
"FI0009007132","2011",1.14,925000,3095000
"FI0009007132","2012",1.09,1078000,2548000
"FI0009007132","2013",1.06,2138000,2533000
"FI0009007132","2014",2.08,1103000,1939000
"FI0009007132","2015",4.71,1042000,1515000
"FI0009007132","2016",3.76,639000,1830000
"FI0009007132","2017",2.85,766000,2301000
"FI0009007132","2018",1.12,1086000,2795000
"FI0009007132","2019",1.97,570000,2721000
"FI0009007132","2020",1.08,2208000,44298000
"FI0009013403","2008",1.11,123400,3441600
"FI0009013403","2009",1.23,95800,3722200
"FI0009013403","2010",1.21,40700,3833600
"FI0009013403","2011",1.27,75600,4040300
"FI0009013403","2012",1.12,12700,5319000
"FI0009013403","2013",1.06,17400,5860000
"FI0009013403","2014",1.09,12100,6128200
"FI0009013403","2015",1.17,12000,7200800
"FI0009013403","2016",1.23,15200,7267400
"FI0009013403","2017",1.28,30100,7463200
"FI0009013403","2018",1.32,17900,7697800
"FI0009013403","2019",1.28,117200,8351000
"FI0009013403","2020",1.25,260300,8295900
"FI0009013429","2008",1.21,114600,2706900
"FI0009013429","2009",1.26,83100,2123300
"FI0009013429","2010",1.28,96500,2019500
"FI0009013429","2011",1.22,97900,2449400
"FI0009013429","2012",1.2,259000,2663000
"FI0009013429","2013",1.28,299500,2560000
"FI0009013429","2014",1.21,193200,2683000
"FI0009013429","2015",1.33,68700,2905700
"FI0009013429","2016",1.23,165200,2637400
"FI0009013429","2017",1.35,121400,2390800
"FI0009013429","2018",1.37,212900,2452800
"FI0009013429","2019",1.29,271100,2745600
"FI0009013429","2020",1.45,155700,2473100
"FI4000197934","2008",NA,NA,NA
"FI4000197934","2009",NA,NA,NA
"FI4000197934","2010",NA,NA,NA
"FI4000197934","2011",NA,NA,NA
"FI4000197934","2012",NA,NA,NA
"FI4000197934","2013",2.15,14058,474592
"FI4000197934","2014",2.13,17636,485687
"FI4000197934","2015",2.01,20636,497764
"FI4000197934","2016",2.13,3200,507400
"FI4000197934","2017",2.06,3600,529400
"FI4000197934","2018",1.94,3600,575100
"FI4000197934","2019",1.5,49932,619079
"FI4000197934","2020",1.07,152864,702241
"FI4000292438","2008",NA,NA,NA
"FI4000292438","2009",NA,NA,NA
"FI4000292438","2010",NA,NA,NA
"FI4000292438","2011",NA,NA,NA
"FI4000292438","2012",1.53,40400,293200
"FI4000292438","2013",1.41,52000,307900
"FI4000292438","2014",1.16,74000,286100
"FI4000292438","2015",1.52,8300,217200
"FI4000292438","2016",1.49,7800,197000
"FI4000292438","2017",1.33,11000,208400
"FI4000292438","2018",1.47,6700,213700
"FI4000292438","2019",1.44,9900,219100
"FI4000292438","2020",1.33,50200,198800
"FR0000032526","2008",2.1,13155,225608
"FR0000032526","2009",2.06,21074,250723
"FR0000032526","2010",1.95,13349,274667
"FR0000032526","2011",1.65,28393,282892
"FR0000032526","2012",1.66,30818,197454
"FR0000032526","2013",1.69,38734,186451
"FR0000032526","2014",1.68,36529,185408
"FR0000032526","2015",1.89,40995,211790
"FR0000032526","2016",1.91,66971,368665
"FR0000032526","2017",2.12,66360,391013
"FR0000032526","2018",1.35,222795,411667
"FR0000032526","2019",2.39,37252,402619
"FR0000032526","2020",2.34,34925,371812
"FR0000039109","2008",0.91,27394,262140
"FR0000039109","2009",1.06,31195,243344
"FR0000039109","2010",0.97,44648,275095
"FR0000039109","2011",0.51,172899,304381
"FR0000039109","2012",0.97,27464,206561
"FR0000039109","2013",0.95,29884,344678
"FR0000039109","2014",1.06,29251,330983
"FR0000039109","2015",0.99,28200,328562
"FR0000039109","2016",0.93,31957,342238
"FR0000039109","2017",0.95,45233,409436
"FR0000039109","2018",1.03,33358,406116
"FR0000039109","2019",1.04,59081,489241
"FR0000039109","2020",1.07,64769,462054
"FR0000039299","2008",0.89,752260,7047361
"FR0000039299","2009",0.9,679128,5665735
"FR0000039299","2010",0.91,820153,6567963
"FR0000039299","2011",1,726131,7986645
"FR0000039299","2012",1,958271,9373089
"FR0000039299","2013",1.01,1218265,9872142
"FR0000039299","2014",0.91,1533861,9899939
"FR0000039299","2015",0.94,1581700,9600100
"FR0000039299","2016",0.96,1223400,8948300
"FR0000039299","2017",0.98,1033000,16317300
"FR0000039299","2018",1.1,2040600,20490000
"FR0000039299","2019",0.82,2883700,21748900
"FR0000039299","2020",0.69,4125200,21087500
"FR0000044448","2008",1.53,242000,5882000
"FR0000044448","2009",1.91,140000,4153000
"FR0000044448","2010",1.84,255000,5198000
"FR0000044448","2011",1.71,277000,5997000
"FR0000044448","2012",1.68,425000,6186000
"FR0000044448","2013",1.52,275000,5672000
"FR0000044448","2014",1.59,213000,5518000
"FR0000044448","2015",1.4,354000,5319000
"FR0000044448","2016",1.42,358000,4869000
"FR0000044448","2017",1.43,261000,5372000
"FR0000044448","2018",1.39,284000,5591000
"FR0000044448","2019",1.31,40000,5787000
"FR0000044448","2020",1.2,283000,5169000
"FR0000050353","2008",1.86,40887,682640
"FR0000050353","2009",2.09,36432,587960
"FR0000050353","2010",1.81,25709,671559
"FR0000050353","2011",1.78,63788,790879
"FR0000050353","2012",1.92,65677,910377
"FR0000050353","2013",1.94,41976,955320
"FR0000050353","2014",2.04,45729,1099301
"FR0000050353","2015",2.01,52285,1232295
"FR0000050353","2016",1.71,106037,1320096
"FR0000050353","2017",1.69,176702,1376815
"FR0000050353","2018",1.68,155293,1412116
"FR0000050353","2019",1.88,152751,1436946
"FR0000050353","2020",1.73,143093,1051693
