"ISIN","year","cur_rat","stlt_lia","cogs"
"BE0003810273","2017",0.66,570000,2166000
"BE0003810273","2018",0.78,234000,2126000
"BE0003810273","2019",0.77,221000,2017000
"BE0003810273","2020",0.79,231000,1900000
"BE0003826436","2008",0.37,34530,327679
"BE0003826436","2009",0.55,32434,379517
"BE0003826436","2010",1.44,40319,421993
"BE0003826436","2011",0.84,55402,439925
"BE0003826436","2012",1.52,72486,473829
"BE0003826436","2013",0.56,77909,548973
"BE0003826436","2014",0.5,78757,575411
"BE0003826436","2015",0.58,110558,591751
"BE0003826436","2016",0.39,139372,841120
"BE0003826436","2017",0.3,361695,878445
"BE0003826436","2018",0.31,504128,742528
"BE0003826436","2019",0.31,527000,675900
"BE0003826436","2020",0.31,499600,688800
"BE0974256852","2008",1.02,2800,4320600
"BE0974256852","2009",1.03,3600,4786400
"BE0974256852","2010",0.95,6500,5084800
"BE0974256852","2011",0.97,6400,5653700
"BE0974256852","2012",0.99,5000,6084300
"BE0974256852","2013",1.06,2700,6210800
"BE0974256852","2014",1.09,3200,6502000
"BE0974256852","2015",0.88,4700,6697500
"BE0974256852","2016",0.92,4300,6856600
"BE0974256852","2017",0.96,3500,7087300
"BE0974256852","2018",0.77,128600,6682400
"BE0974256852","2019",0.83,41000,6962700
"BE0974256852","2020",0.83,28500,7016200
"BE0974258874","2008",1.28,503128,1927675
"BE0974258874","2009",2.04,151360,1754210
"BE0974258874","2010",1.83,320315,2191192
"BE0974258874","2011",1.79,648485,2488358
"BE0974258874","2012",2.01,342549,2777294
"BE0974258874","2013",1.82,321907,2531539
"BE0974258874","2014",1.78,441552,2565859
"BE0974258874","2015",1.52,494714,2874155
"BE0974258874","2016",1.8,297916,2821968
"BE0974258874","2017",1.64,454401,3191730
"BE0974258874","2018",1.18,942041,3515091
"BE0974258874","2019",1.61,424184,3514084
"BE0974258874","2020",1.55,641655,2977527
"BE0974259880","2008",1.5,443700,3936500
"BE0974259880","2009",1.13,549200,3937700
"BE0974259880","2010",1.41,356200,4512500
"BE0974259880","2011",1.66,53100,4014600
"BE0974259880","2012",1.87,109200,3735700
"BE0974259880","2013",1.55,330000,3670800
"BE0974259880","2014",1.61,139200,3696400
"BE0974259880","2015",1.68,54900,4029600
"BE0974259880","2016",1.06,358300,4330900
"BE0974259880","2017",1.51,32500,2963300
"BE0974259880","2018",3.89,39400,3067200
"BE0974259880","2019",4.42,46500,3262100
"BE0974259880","2020",4.29,17900,2831900
"BE0974268972","2008",1.63,800,593400
"BE0974268972","2009",1.82,800,469100
"BE0974268972","2010",1.98,900,485800
"BE0974268972","2011",1.46,9900,520500
"BE0974268972","2012",1.22,11500,546200
"BE0974268972","2013",1.06,11500,547900
"BE0974268972","2014",1.1,10300,579300
"BE0974268972","2015",1.13,9800,587700
"BE0974268972","2016",1.04,10300,639100
"BE0974268972","2017",0.62,699900,1090300
"BE0974268972","2018",1.01,175700,1640800
"BE0974268972","2019",0.93,272700,1685700
"BE0974268972","2020",1.03,278200,1915300
"BE0974276082","2008",NA,NA,NA
"BE0974276082","2009",NA,NA,NA
"BE0974276082","2010",NA,NA,NA
"BE0974276082","2011",1.35,20400,909500
"BE0974276082","2012",1.25,14000,939500
"BE0974276082","2013",1.46,13900,1064900
"BE0974276082","2014",1.48,2400,1142900
"BE0974276082","2015",1.92,9200,1187200
"BE0974276082","2016",1.49,22900,1373100
"BE0974276082","2017",1.28,69900,1632600
