scope_total_x,pred,GS-score,Unnamed: 0,X.1,Country,year,ISIN,X,scope1,scope2,scope3,scope_total_y,CURRENCY,Rev,Emp,TA,NPPE,INTAN,Debt_comm_eq,Capex,PPEG,Dprc,Accr,S_pillar,E_pillar,G_pillar,NCFOA,Debt_TotCap,GMAR,OIBD,OI,NS_WC,iso,FuelInten,Income.group,CO2_imp,ggroup,gind,gsector,gsubind,naics,naicsh
10.900196306260026,11.146803262318782,0.2796760450046314,70,70,AUSTRIA,2017,AT00000VIE62,20,8455.0,45732.0,322735.0,54187.0,E,753185.0,4639.0,2062990.0,1441372.0,156606.0,35.91,88363.0,2986788.0,132365.0,,54.19,77.92,33.52,277908.0,24.97,78.99,320799.0,194345.0,-12.84,AT,  17.5,High income,National,2030.0,203050.0,20.0,20305010.0,48811.0,48811.0
11.902364166876138,13.081479972878748,2.2514979765126495,71,71,AUSTRIA,2019,AT0000609607,36,123048.58,24566.62,2640.07,147615.2,E,4880414.0,19828.0,3649409.0,940899.0,148522.0,285.96,118014.0,1660268.0,167717.0,,68.08,71.33,34.04,249850.0,73.51,29.37,20641.0,-143745.0,22.88,AT,  17.2,High income,National,2010.0,201030.0,20.0,20103010.0,238.0,2362.0
13.353475098367715,13.780092711920974,0.532066708156104,75,75,AUSTRIA,2020,AT0000938204,148,530000.0,100000.0,,630000.0,E,2528399.0,9938.0,2351870.0,996472.0,346347.0,17.4,136086.0,2746071.0,125428.0,15148.0,49.78,31.36,50.38,312446.0,14.79,25.55,379053.0,243089.0,4.63,AT,  16.4,High income,National,1510.0,151030.0,15.0,15103020.0,322212.0,322212.0
11.988302133552471,12.228301248753157,0.2712480255215255,81,81,AUSTRIA,2018,AT0000609607,35,136738.0,24124.0,2034.0,160862.0,E,4959109.0,19014.0,3100179.0,666758.0,148212.0,159.9,162517.0,1287673.0,124239.0,,35.54,64.94,25.0,186235.0,61.3,27.77,15667.0,-108749.0,56.5,AT,  16.7,High income,National,2010.0,201030.0,20.0,20103010.0,238.0,2362.0
9.494639227799267,10.844659107289932,2.8575022151140224,87,87,AUSTRIA,2019,AT0000946652,150,,,,13288.3,E,445256.0,1535.0,848724.0,146647.0,166706.0,79.39,35580.0,483285.0,48390.0,,38.77,50.44,24.75,98146.0,44.24,29.77,103243.0,55338.0,1.73,AT,  17.2,High income,National,1010.0,101010.0,10.0,10101020.0,333132.0,333132.0
13.353475098367715,13.935735778976495,0.7900806605707477,88,88,AUSTRIA,2019,AT0000938204,147,530000.0,100000.0,,630000.0,E,2544409.0,10014.0,2380199.0,1034471.0,358996.0,22.98,129963.0,2758026.0,123030.0,-2844.0,54.53,30.64,51.62,325007.0,18.63,24.64,382518.0,248189.0,5.24,AT,  17.2,High income,National,1510.0,151030.0,15.0,15103020.0,322212.0,322212.0
13.122363377404328,13.491456122106014,0.44642174540746504,96,96,AUSTRIA,2016,AT0000938204,144,500000.0,,,500000.0,E,2272734.0,9927.0,1954694.0,792650.0,129207.0,20.83,130405.0,2298460.0,92666.0,-1735.0,33.33,27.34,43.96,217207.0,17.16,23.22,300962.0,201897.0,3.43,AT,  16.2,High income,National,1510.0,151030.0,15.0,15103020.0,322212.0,322212.0
10.976884592063174,11.008160745558044,0.03177039154788026,101,101,AUSTRIA,2016,AT00000VIE62,19,11796.0,46710.0,262743.0,58506.0,E,741596.0,4626.0,2018328.0,1455927.0,158965.0,43.39,83268.0,2918730.0,137536.0,,40.34,47.83,24.79,255083.0,28.69,78.39,325643.0,194398.0,-18.67,AT,  16.2,High income,National,2030.0,203050.0,20.0,20305010.0,48811.0,48811.0
10.021403912637746,10.762480682310303,1.0981935697765572,112,112,AUSTRIA,2020,AT00000VIE62,23,4745.0,17758.0,129850.0,22503.0,E,333673.0,5296.0,2173317.0,1469020.0,166552.0,37.2,177057.0,3309326.0,132550.0,,35.46,65.09,30.76,-22957.0,25.54,54.63,52153.0,-73388.0,-7.96,AT,  16.4,High income,National,2030.0,203050.0,20.0,20305010.0,48811.0,48811.0
13.122363377404328,13.534638571753064,0.510249991409731,117,117,AUSTRIA,2017,AT0000938204,145,500000.0,,,500000.0,E,2336804.0,9856.0,1992831.0,858875.0,126263.0,16.14,152206.0,2423359.0,93618.0,12991.0,43.47,30.1,34.63,213609.0,13.88,22.81,297842.0,198150.0,3.69,AT,  17.5,High income,National,1510.0,151030.0,15.0,15103020.0,322212.0,322212.0
10.33734573514551,11.183661307479268,1.331042453211585,123,123,AUSTRIA,2019,AT00000VIE62,22,9648.0,21216.0,349898.0,30864.0,E,857617.0,5767.0,2300640.0,1530347.0,166064.0,27.88,144845.0,3256602.0,130703.0,,45.86,74.53,40.91,373052.0,20.49,81.52,376547.0,251657.0,-18.58,AT,  17.2,High income,National,2030.0,203050.0,20.0,20305010.0,48811.0,48811.0
11.17661321555038,11.923673383603994,1.110785531579931,126,126,AUSTRIA,2019,AT0000APOST4,166,61407.0,10033.0,34106.0,71440.0,E,2021600.0,20338.0,1977000.0,1056500.0,96200.0,44.84,139400.0,1806900.0,118100.0,,65.05,68.61,70.61,261400.0,30.64,71.33,197500.0,83500.0,-68.76,AT,  17.2,High income,National,2030.0,203010.0,20.0,20301010.0,492110.0,492110.0
