"ISIN","year","scope_total","NPPE","Debt_TotCap","GMAR","gsector","INTAN_TA","Capex_NPPE","Rev_Emp","FuelInten","Age","CapInt"
"BE0003739530",2020,48992,1035000,27.42,74.51,"35",0.624272455560799,0.0956521739130435,635.866333690094,33.1,14.8273381294964,0.385449784926127
"BE0974258874",2020,1544550,1324388,51.19,15.89,"15",0.0490079270253517,0.0812284617498799,158.24380217291,33.1,21.4140858868993,1.1472486556211
"BE0974268972",2014,70867,565700,10.03,72.51,"20",0.0434297360248447,0.107477461552059,99.1311761601234,27.9,21.8544668587896,0.621165581357251
"BE0003810273",2014,136000,2680000,45.9,45.63,"50",0.409976247030879,0.317910447761194,420.173398181434,27.9,25.2808080808081,2.09931219594028
"BE0974259880",2014,220678,505800,33.81,30.93,"25",0.426943378119002,0.219058916567813,195.40197461213,27.9,13.1174603174603,0.223689909051537
"BE0974293251",2014,6070000,16757501,48.51,60.15,"30",0.711566731688011,0.173599929965691,231.402476157087,27.9,12.207832994206,0.869746174054418
"BE0003883031",2020,677684,2515052,42.99,10.38,"20",0.0565623670823494,0.179422930420524,388.562228654124,33.1,15.6148583329448,1.55910722610289
"BE0003808251",2020,603309,464017,38.49,53.17,"10",7.86116140798642e-05,0.0116073333520108,152.956307692308,33.1,16.6376592993905,2.17454154831546
"BE0974268972",2020,114395,1138000,71.2,47.35,"20",0.201546135965943,0.105272407732865,113.391750020666,33.1,7.72715855572998,0.598065660615781
"BE0003755692",2008,125000,369000,53.9,31.83,"35",0.224808895066018,0.192411924119241,242.831971808425,33,28.4864864864865,0.695250659630607
"BE0003826436",2009,9889,1314968,86.1333,43.02,"50",0.490680677960088,0.152390020137372,634.563328033916,33.7,9.1300812739636,2.30880868132428
"BE0974320526",2009,529628,763790,20.88,0.51,"15",0.0508889833739289,0.268114272247607,714.229383300731,33.7,17.9893470672192,0.301596584266812
"BE0003810273",2009,150112,2420000,46.01,51.33,"50",0.378895877009085,0.315702479338843,352.416091406808,33.7,50.7136436323581,1.9741641337386
"BE0003739530",2009,94565,534000,33.68,61.8,"35",0.725842445882615,0.194756554307116,287.752037752038,33.7,15.8846153846154,0.461796496459187
"BE0974259880",2009,259942,1091000,64.45,32.27,"25",0.342583349970054,0.726672777268561,214.107161151521,33.7,6.75466070096943,0.288945244589055
"BE0974293251",2009,4550000,11489778,59.68,51.94,"30",0.674786692478669,0.156138787015728,226.226622256179,33.7,11.2314390328987,0.775793552689982
"BE0003810273",2010,155885,2348000,38.59,45.6,"50",0.422243505327427,0.254258943781942,401.766004415011,37.2,45.2346153846154,1.79502442002442
"BE0974320526",2010,543216,804510,23.48,2.58,"15",0.0498109940540196,0.21094206411356,1026.89677829589,37.2,17.3272646571607,0.225611411094431
"BE0003826436",2010,10210,1310202,86.1333,43.36,"50",0.423482788899402,0.178367152545943,649.4965,37.2,12.2087507252375,2.31648900340495
"BE0003739530",2010,96939,505000,30.58,62.2,"35",0.726576782449726,0.0752475247524752,313.104068329962,37.2,18.4307692307692,0.430007178750897
"BE0003755692",2010,245500,313000,27.34,33.85,"35",0.23943661971831,0.108626198083067,250.552439231685,37.2,33.234375,0.721506105834464
"BE0974256852",2010,91530,1243900,1.89,22.77,"30",0.0406485411647738,0.227349465391109,319.286963922644,37.2,17.0338461538462,0.327932944347362
"BE0974259880",2010,294660,1133700,58.85,31.69,"25",0.341285518918098,0.101967010673018,223.661096489837,37.2,7.30591852421214,0.269507769082454
"BE0974293251",2010,4250000,11872071,53.64,54.22,"30",0.66776703815208,0.103444546448551,240.542676685941,37.2,12.6852169272903,0.823034673950814
"BE0974320526",2011,695733,864336,17.64,2.56,"15",0.0505709764314966,0.163684030284519,1468.5061352804,31.6,17.1084997555654,0.161918850704364
"BE0003755692",2011,233100,301000,26.95,27.85,"35",0.249908256880734,0.159468438538206,257.759208731241,31.6,37.5263157894737,0.707575256367846
"BE0003810273",2011,136544,2401000,35.84,46.36,"50",0.42461237944085,0.305705955851728,402.900937420826,31.6,23.8367346938776,1.83618927841534
"BE0974293251",2008,5140000,14137000,71.09,53.21,"30",0.652480686482398,0.104760557402561,134.324373925956,33,19.2708333333333,1.37871071916532
"BE0003810273",2008,108000,2501000,52.55,53.09,"50",0.356301846400856,0.204718112754898,340.279776639226,33,21.5754716981132,1.93452884452715
"BE0974320526",2008,627568,709194,30.56,4.71,"15",0.0419223457656816,0.209959475122463,906.618906358153,33,18.462206260781,0.213623573492985
"BE0003739530",2008,117090,623000,42.63,62.14,"35",0.720709174409911,0.353130016051364,268.065887353879,33,16.3733333333333,0.405682193591014
"BE0974259880",2011,290179,436300,33.29,28.96,"25",0.404449388209121,0.338528535411414,222.336705847344,31.6,6.74313186813187,0.164254763856591
"BE0003826436",2011,27317,1301121,86.1333,42.4,"50",0.46765106783804,0.149524141106016,657.550406115624,31.6,12.5084376049633,2.35416235241631
"BE0003755692",2012,230100,277000,30.44,28.11,"35",0.250095602294455,0.1985559566787,270.950210378682,32,38.0357142857143,0.689097379488839
"BE0003810273",2012,150000,2467000,36.92,47.98,"50",0.424302296863423,0.30685042561816,407.150513903777,32,15.9251336898396,1.84481957565433
"BE0974256852",2009,82874,1043700,2.01,22.28,"30",0.0348990435706695,0.212034109418415,324.167694204686,33.7,16.4001706484642,0.304631038417649
"BE0003755692",2009,118000,326000,43.79,32.16,"35",0.249326664101578,0.150306748466258,234.408236195014,33.7,30.304347826087,0.758983666061706
"BE0974256852",2012,120303.71,1501800,2.06,19.97,"30",0.0580839271575614,0.197895858303369,333.16068775207,32,13.7879714576962,0.344716856108874
"BE0003739530",2012,85958,602000,35.66,68.69,"35",0.712140033879164,0.136212624584718,382.62599469496,32,26.4909090909091,0.420854997111496
"BE0003826436",2012,26013,1337479,86.1333,42.74,"50",0.389954698801355,0.161722165357363,695.363381597384,32,10.0979997066339,1.75715706827031
"BE0974259880",2012,238738,456400,33.43,29.98,"25",0.428068849217887,0.262708150744961,213.848062977469,32,11.5936819172113,0.193000272010155
"BE0003755692",2013,218500,242000,48.24,29.11,"35",0.260429835651075,0.169421487603306,259.346428894723,32,24.4883720930233,0.735078534031414
"BE0003826436",2013,26669,1386053,86.1333,39.39,"50",0.449992513826826,0.170639939453975,745.363306085377,32,11.178433751063,1.57770595080699
"BE0974293251",2013,5900000,15207192,47.04,59.27,"30",0.706582862349273,0.166292961909076,210.097362650158,32,14.3730935839973,0.854166568524278
"BE0974320526",2013,690767,998563,15.42,7.44,"15",0.0637828350089296,0.228097776504837,698.531336700576,32,16.6346660614543,0.268719368220909
"BE0974259880",2013,213068.87,458200,36.06,30.6,"25",0.424525347983263,0.27040593627237,200.781766130808,32,12.0294438386041,0.20164518782561
"BE0003739530",2013,79770,722000,41.97,67.22,"35",0.654267190987353,0.221606648199446,390.63215758131,32,29.6296296296296,0.469070653767224
"BE0003810273",2013,137000,2558000,42.39,46.42,"50",0.421679499518768,0.302189210320563,397.413848015797,32,25.0469387755102,1.96714217021959
"BE0003755692",2014,203100,234000,68.8,30.8,"35",0.258947368421053,0.162393162393162,249.381305920426,27.9,30.6666666666667,0.807633587786259
"BE0974293251",2011,4367743,12368984,49.46,55.68,"30",0.672190704583281,0.143562397687635,240.257245566659,31.6,13.7481025627046,0.866518340507188
"BE0003739530",2011,83146,5e+05,31.81,64.78,"35",0.723983972524327,0.108,338.114272278392,31.6,21.7833333333333,0.454450625869263
"BE0003822393",2011,68843,3150500,58.78,20.68,"55",0.300345973349776,0.0633232820187272,1017.29452054795,31.6,40.3035075161059,4.73859619592661
"BE0974256852",2011,101979,1395600,1.51,20.29,"30",0.0590238365493757,0.228790484379478,322.299451035948,31.6,16.5697986577181,0.339129957006085
"BE0003826436",2014,45584,1417539,86.1333,45.24,"50",0.450605423960057,0.181051103355887,754.684792219275,27.9,10.6918066602991,1.56063949500233
"BE0974320526",2014,664568,1061735,18.15,7.85,"15",0.0710182314639221,0.251231239433569,627.2923120648,27.9,16.673215814805,0.319800097683505
"BE0003739530",2014,66100,686000,34.69,68.48,"35",0.644517219522502,0.346938775510204,385.076001842469,27.9,30.0384615384615,0.467105263157895
"BE0003826436",2015,51065,1411933,86.1333,45.56,"50",0.424893237577622,0.149358361905275,780.149698015531,30.4,7.03199348010072,1.48864374716253
"BE0974293251",2012,5320000,12477438,49.39,56.93,"30",0.625026680020359,0.193586215375304,261.861619287269,32,13.490782556715,0.814713329796484
"BE0974320526",2012,701898,912268,16.32,5.57,"15",0.0561786536104562,0.206099523385672,1220.50520377395,32,16.442685197981,0.199124259823108
"BE0003755692",2015,203000,214000,40.31,31.82,"35",0.276444444444444,0.168224299065421,258.373205741627,30.4,34.5573770491803,0.796674225245654
"BE0974256852",2015,175215.12,1802700,2.06,22.66,"30",0.0406779661016949,0.225938869473567,336.597334943943,30.4,15.8756730298581,0.363740355284407
"BE0974293251",2015,5180000,17454792,51.97,58.56,"30",0.709892547244743,0.190693134584474,259.544009033554,30.4,11.3821038871179,0.82303856252553
"BE0003739530",2015,65681,651000,32.28,70.12,"35",0.61495105309997,0.129032258064516,497.68875192604,30.4,6.608,0.426212590299278
"BE0974259880",2015,226374,521000,29.57,30.92,"25",0.444366732552836,0.257581573896353,215.781194136575,30.4,13.1789264413519,0.21967061006727
"BE0003810273",2015,141000,2809000,45.05,45.39,"50",0.419087136929461,0.338554645781417,421.859474804826,30.4,24.2954545454545,2.15814266487214
"BE0003826436",2016,41676,2046824,86.1333,40.31,"50",0.461854795324146,0.12018033792842,717.189253026277,31.2,5.71975683200555,1.45210364247135
"BE0003755692",2016,183200,198000,30.58,33.78,"35",0.281888334089877,0.176767676767677,252.638916550488,31.2,28.6944444444444,0.814347654710288
"BE0974268972",2016,83133,561600,6.93,69.83,"20",0.100084741982962,0.119301994301994,101.206343850177,31.2,18.3184855233853,0.685588063682587
"BE0974293251",2016,4680000,26090856,60.12,58.34,"30",0.704344275046671,0.165028238245614,199.577569894451,31.2,13.7389690664053,1.04950683949335
"BE0974259880",2016,209200,574400,38.68,30.89,"25",0.669826182148292,0.212221448467967,228.294765062791,31.2,14.074222668004,0.216820928040546
"BE0003810273",2016,114700,2910000,42.06,45.81,"50",0.417914140789311,0.343642611683849,427.565466148317,31.2,22.3398926654741,2.14239149082175
"BE0003739530",2016,39351,678000,22.62,71.23,"35",0.653742304784534,0.104719764011799,552.426285865397,31.2,20.8630136986301,0.364528482527525
"BE0974268972",2017,117388.55,710300,49.37,59.8,"20",0.285293564759697,0.102351119245389,117.371559451882,31.6,18.2388201712655,0.644943139761793
"BE0974293251",2017,6180000,22671456,59.22,59.61,"30",0.762786329672124,0.198975928145065,247.74965,31.6,10.8254527697657,0.820098353317553
"BE0003826436",2017,41399,2146331,86.1333,37.01,"50",0.490812690911098,0.141371018729171,753.977930211751,31.6,5.10558130136064,1.49910643933281
"BE0003766806",2017,5691,22686,28.23,33.02,"35",0.0496690668635012,0.414616944370978,194.729674796748,31.6,13.1348713398403,0.154508543217093
"BE0003755692",2017,182100,190000,21.88,33.32,"35",0.2780925401322,0.210526315789474,248.272357723577,31.6,36.0892857142857,0.827261563651248
"BE0003816338",2017,3280630,1948917,32.74,13.84,"10",2.5616099206029e-05,0.159306425055557,152.767796610169,31.6,15.144676568573,6.7785672284291
"BE0974259880",2017,199800,211300,8.55,13.6,"25",0.141908325537886,0.725035494557501,1550.76301615799,31.6,25.0337078651685,0.128968770802582
"BE0003739530",2017,31978,673000,21.52,73.51,"35",0.614540317322321,0.160475482912333,605.776945707408,31.6,6.38461538461539,0.329801324503311
"BE0003810273",2017,112300,2976000,44.6,45.48,"50",0.431058823529412,0.323252688172043,445.159789016444,31.6,20.3614457831325,2.06133472730441
"BE0974293251",2018,6030000,22593520,60.45,60.25,"30",0.772361107498071,0.184209189183447,264.889662857143,32.8,11.6742441235733,0.910530877427758
"BE0003826436",2018,41300,2237456,86.1333,44.75,"50",0.473266806916874,0.131813094872033,781.151309707242,32.8,5.50112052758585,1.53876621603922
"BE0974313455",2018,1035,48600,63.65,4.23,"45",0.240143851040231,0.909465020576132,263.216796152423,32.8,10.1897810218978,0.0490530236480551
"BE0003755692",2018,184700,174000,49.57,31.78,"35",0.272969374167776,0.247126436781609,232.56054647071,32.8,32.9166666666667,0.878949710725412
