Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ADIDAS - CO2 Equivalents Emission Indirect,DE000A1EWWW0(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48815,55266,21690,20008
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ADLER REAL ESTATE - CO2 Equivalents Emission Direct,DE0005008007(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003,890,NA
ADLER REAL ESTATE - CO2 Equivalents Emission Indirect,DE0005008007(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20660,22215,NA
ADP - CO2 Equivalents Emission Direct,FR0010340141(ENERDP024),NA,144459,143271,156117,NA,3084,3373,2788,2721,2500,NA,49048,83639,75434
ADP - CO2 Equivalents Emission Indirect,FR0010340141(ENERDP025),NA,NA,NA,NA,107875,123818,90941,40420,48208,50314,4935,4668,30176,24159
ADVA OPTICAL NETWORKING - CO2 Equivalents Emission Direct,DE0005103006(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211,1140,897
ADVA OPTICAL NETWORKING - CO2 Equivalents Emission Indirect,DE0005103006(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7011,6509,6048
ADYEN - CO2 Equivalents Emission Direct,NL0012969182(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.57,223.62
ADYEN - CO2 Equivalents Emission Indirect,NL0012969182(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2826.81,2341.3
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AEDIFICA - CO2 Equivalents Emission Direct,BE0003851681(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5513,13244,20366
AEDIFICA - CO2 Equivalents Emission Indirect,BE0003851681(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4261,11623,19947
AEGEAN AIRLINES CR - CO2 Equivalents Emission Direct,GRS495003006(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375080,517774
AEGEAN AIRLINES CR - CO2 Equivalents Emission Indirect,GRS495003006(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1815,2107
AEGON - CO2 Equivalents Emission Direct,NL0000303709(ENERDP024),NA,NA,10492,7510,7960,NA,NA,NA,NA,NA,NA,5011,5189,4993
AEGON - CO2 Equivalents Emission Indirect,NL0000303709(ENERDP025),NA,NA,69896,78916,88247,NA,NA,NA,NA,NA,NA,47142,42449,34072
AENA SME - CO2 Equivalents Emission Direct,ES0105046009(ENERDP024),NA,NA,NA,NA,NA,NA,NA,16129,19578,21119,20524.7,23852.4,22338.3,NA
AENA SME - CO2 Equivalents Emission Indirect,ES0105046009(ENERDP025),NA,NA,NA,NA,NA,NA,NA,243880,273993,229986,238611.2,218937,149542.6,NA
AEROP GUGL MARCO - CO2 Equivalents Emission Direct,IT0001006128(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850.4,4929,4033.9
AEROP GUGL MARCO - CO2 Equivalents Emission Indirect,IT0001006128(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1773.5,1654,1273.3
AF GRUPPEN 'A' - CO2 Equivalents Emission Direct,NO0003078107(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40113
AF GRUPPEN 'A' - CO2 Equivalents Emission Indirect,NO0003078107(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935
AFRY - CO2 Equivalents Emission Direct,SE0005999836(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5503,7842,4772
AFRY - CO2 Equivalents Emission Indirect,SE0005999836(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,3835,3750
AGEAS (EX-FORTIS) - CO2 Equivalents Emission Direct,BE0974264930(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12775,9793
