Name,Code,25/05/2008,25/05/2009,25/05/2010,25/05/2011,25/05/2012,25/05/2013,25/05/2014,25/05/2015,25/05/2016,25/05/2017,25/05/2018,25/05/2019,25/05/2020
PKO BANK - SHORT TERM DEBT & CURRENT PORT,PLPKO0000016(WC03051),3663330,1554790,1303403,5042219,2649044,4172768,9200883,5751487,5346400,1821000,1751000,2180000,2626000
PKP CARGO - SHORT TERM DEBT & CURRENT PORT,PLPKPCR00011(WC03051),NA,125212,128058,192449,214870,189007,219865,319008,257370,297741,270500,421300,478500
PZU GROUP - SHORT TERM DEBT & CURRENT PORT,PLPZU0000011(WC03051),8013,4780108,122,758951,1006245,0,29303,3794306,178000,1167000,540000,7559000,7869000
ASSECO POLAND - SHORT TERM DEBT & CURRENT PORT,PLSOFTB00016(WC03051),217647,137652,130803,272800,215100,185800,233200,422000,467000,422100,610500,906100,887000
STALPRODUKT - SHORT TERM DEBT & CURRENT PORT,PLSTLPD00017(WC03051),26721,30040,29751,27701,57188,95042,133609,112850,256469,237346,184045,73109,56517
TAURON POLSKA ENERGIA - SHORT TERM DEBT & CURRENT PORT,PLTAURN00011(WC03051),684050,631692,347721,228930,301472,301960,644991,3214520,219740,351382,2475167,2484093,1478550
ORANGE POLSKA - SHORT TERM DEBT & CURRENT PORT,PLTLKPL00017(WC03051),2114000,375000,1547000,767000,2192000,3343000,1143000,1318000,41000,1529000,2150000,420000,4091000
NEUCA - SHORT TERM DEBT & CURRENT PORT,PLTRFRM00018(WC03051),151106,195721,257297,203098,109410,99962,54471,69810,85320,59175,146340,321329,85270
GRUPA AZOTY - SHORT TERM DEBT & CURRENT PORT,PLZATRM00012(WC03051),21916,111243,286721,176605,208022,615300,518512,129818,61953,77806,371498,265438,264865
ALTRI SGPS - SHORT TERM DEBT & CURRENT PORT,PTALT0AE0002(WC03051),162883,155731,181628,293564,196566,292637,398879,116705,160459,101252,135565,118170,180594
BANCO COMR.PORTUGUES 'R' - SHORT TERM DEBT & CURRENT PORT,PTBCP0AM0015(WC03051),18727255,17460677,24381842,17513793,7288203,6356415,9847432,7578624,7453935,2343082,2528431,5334544,9400770
BANCO ESPR.SANTO (OTC) - SHORT TERM DEBT & CURRENT PORT,PTBES0AM0007(WC03051),19196428,17475860,21446786,22676287,19424063,8130946,26,151140,NA,31,33,35,37
CORTICEIRA AMORIM - SHORT TERM DEBT & CURRENT PORT,PTCOR0AE0006(WC03051),109292,52881,121496,76641,108231,157226,88325,52062,48399,122598,121200,124109,88792
CTT CORREIOS DE PORTUGAL - SHORT TERM DEBT & CURRENT PORT,PTCTT0AM0001(WC03051),NA,6568,7025,5165,6857,3717,1846,7078,263625,629534,890526,1348232,1731309
EDP ENERGIAS DE PORTUGAL - SHORT TERM DEBT & CURRENT PORT,PTEDP0AM0009(WC03051),3669816,2549000,2739372,2706079,3496000,3850303,3520128,3377051,2389211,1313763,2616030,3352817,2275843
GALP ENERGIA SGPS - SHORT TERM DEBT & CURRENT PORT,PTGAL0AM0009(WC03051),686660,423642,616462,1528491,1105594,373320,303245,492547,325163,551000,559000,460000,705000
JERONIMO MARTINS - SHORT TERM DEBT & CURRENT PORT,PTJMT0AE0001(WC03051),308344,124495,219217,354672,146246,324716,340925,123510,224581,299505,350814,808665,536424
MOTA ENGIL SGPS - SHORT TERM DEBT & CURRENT PORT,PTMEN0AE0005(WC03051),441346,699065,518366,567029,688743,583844,552260,1025448,647975,787939,828272,961739,1017621
PHAROL SGPS - SHORT TERM DEBT & CURRENT PORT,PTPTC0AM0009(WC03051),2254666,494532,951921,3291558,1712753,1491976,54,16,8,3,0,0,0
NAVIGATOR COMP - SHORT TERM DEBT & CURRENT PORT,PTPTI0AM0006(WC03051),16095,331312,91250,164085,219745,59702,304735,40579,69702,150206,111806,17591,297140
REN REDES ENERGETICAS - SHORT TERM DEBT & CURRENT PORT,PTREL0AM0008(WC03051),537154,494863,343356,49033,1166767,225547,371165,620895,188456,584251,406846,731762,548473
SEMAPA - SHORT TERM DEBT & CURRENT PORT,PTSEM0AM0004(WC03051),64032,447974,150479,251991,333105,227692,712556,512033,266268,263390,333875,345594,473337
SONAE SGPS - SHORT TERM DEBT & CURRENT PORT,PTSON0AM0001(WC03051),370071,313554,264464,644296,523449,233939,945495,313402,360854,267830,500524,298276,295078
NOS SGPS - SHORT TERM DEBT & CURRENT PORT,PTZON0AM0006(WC03051),317060,246539,92577,499961,363254,213431,503508,178022,224692,210136,244134,143281,167126
BRD - SHORT TERM DEBT & CURRENT PORT,ROBRDBACNOR2(WC03051),5381646,2104967,9525795,8551791,10595526,1344705,3522770,1207519,929481,1364201,806752,1102894,1248642
OMV PETROM - SHORT TERM DEBT & CURRENT PORT,ROSNPPACNOR9(WC03051),300526,182779,395900,474440,541240,225660,311060,423640,455130,370860,304070,261040,312360
BANCA TRANSILVAN - SHORT TERM DEBT & CURRENT PORT,ROTLVAACNOR1(WC03051),1310910,1177481,886527,1816672,2325815,2033862,636669,664744,1730303,386381,441946,296138,318944
BERGS TIMBER B - SHORT TERM DEBT & CURRENT PORT,SE0000101297(WC03051),96200,99100,89400,103300,243200,11400,NA,451100,137300,30300,395000,157000,42000
HALDEX - SHORT TERM DEBT & CURRENT PORT,SE0000105199(WC03051),1229000,200000,3000,3000,10000,11000,15000,3000,79000,61000,10000,449000,62000
HENNES & MAURITZ B - SHORT TERM DEBT & CURRENT PORT,SE0000106270(WC03051),0,0,0,0,0,0,0,0,2127000,9870000,9289000,7051000,21174000
SKF B - SHORT TERM DEBT & CURRENT PORT,SE0000108227(WC03051),899000,2018000,1325000,1113000,2945000,1646000,3905000,1442000,1233000,2433000,2175000,3062000,2735000
ERICSSON B - SHORT TERM DEBT & CURRENT PORT,SE0000108656(WC03051),5542000,2124000,3808000,7765000,4769000,7388000,2281000,2376000,8033000,2545000,2255000,11726000,10138000
SAAB B - SHORT TERM DEBT & CURRENT PORT,SE0000112385(WC03051),3870000,2519000,589000,520000,1637000,614000,264000,853000,292000,92000,1068000,1756000,2612000
SVENSKA CELLULOSA - SHORT TERM DEBT & CURRENT PORT,SE0000112724(WC03051),13170000,13761000,13047000,9266000,9834000,9115000,14010000,11875000,5013000,3493000,2544000,3718000,1323000
SKANSKA B - SHORT TERM DEBT & CURRENT PORT,SE0000113250(WC03051),1622000,921000,2559000,5426000,6195000,4075000,3859000,6483000,6632000,7487000,7262000,5645000,5594000
TRELLEBORG B - SHORT TERM DEBT & CURRENT PORT,SE0000114837(WC03051),2805000,2529000,3162000,2171000,2351000,1945000,4243000,3948000,5072000,4258000,2943000,4083000,4525000
VOLVO B - SHORT TERM DEBT & CURRENT PORT,SE0000115446(WC03051),62631000,51626000,39601000,44522000,50317000,51552000,39953000,57331000,55987000,53648000,48238000,55769000,58028000
NCC B - SHORT TERM DEBT & CURRENT PORT,SE0000117970(WC03051),2929000,391000,1546000,1585000,2141000,2515000,2526000,3154000,723000,919000,1051000,796000,606000
ELANDERS B - SHORT TERM DEBT & CURRENT PORT,SE0000119299(WC03051),862742,828669,347534,720469,809426,521784,1327055,1246990,228400,840100,818700,1037000,687000
ELOS MEDTECH B - SHORT TERM DEBT & CURRENT PORT,SE0000120776(WC03051),57866,55104,58794,53427,71678,62111,42046,82796,128395,125496,69564,55490,51279
REJLERS B - SHORT TERM DEBT & CURRENT PORT,SE0000123671(WC03051),8731,5925,7266,25499,31700,99800,39400,103200,133400,153300,33400,215400,189500
SKANDINAVISKA ENSKILDA - SHORT TERM DEBT & CURRENT PORT,SE0000148884(WC03051),640389000,559683000,486387000,493032000,493112000,181561000,121704000,120475000,107849000,91306000,385503000,494503000,474053000
SECURITAS B - SHORT TERM DEBT & CURRENT PORT,SE0000163594(WC03051),6408700,2770000,3867200,4488500,5930100,2309600,2598300,373100,3550000,3519500,2367700,2211000,5551000
ELEKTA B - SHORT TERM DEBT & CURRENT PORT,SE0000163628(WC03051),33000,119000,102000,99000,113000,212000,125000,1075000,1885000,0,975000,1000000,1214000
