Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AEGON N.V. - TOTAL DEBT % TOTAL CAPITAL/STD,NL0000303709(WC08221),NA,68.6,54.06,46.33,41.71,42.16,46.29,43.66,41.77,46.07,47.03,46.31,37.87,37.2
AENA SME SA - TOTAL DEBT % TOTAL CAPITAL/STD,ES0105046009(WC08221),NA,NA,NA,NA,83.08,83.21,79.05,72.42,66.83,61.14,56.28,52.57,49.98,55.76
AEROPORTO GUGLI - TOTAL DEBT % TOTAL CAPITAL/STD,IT0001006128(WC08221),NA,NA,NA,NA,NA,26.7,24.1,19.91,21.04,15.63,12.66,9.94,8.55,30.85
AF GRUPPEN ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0003078107(WC08221),NA,38.39,9.37,6.92,8.84,10.37,5.59,17.36,18.82,19.55,20.05,22.23,38.09,31.44
AFRY - TOTAL DEBT % TOTAL CAPITAL/STD,SE0005999836(WC08221),NA,17.52,15.27,8.9,2.74,26.86,21.8,19.62,27.98,34.41,35.6,39.4,45.47,40.25
AGEAS SA - TOTAL DEBT % TOTAL CAPITAL/STD,BE0974264930(WC08221),NA,69.51,39.53,36.27,39.69,31.98,33.82,31.59,31.75,33.29,31.53,29.53,32.3,34.01
AGFA-GEVAERT NV - TOTAL DEBT % TOTAL CAPITAL/STD,BE0003755692(WC08221),NA,53.9,43.79,27.34,26.95,30.44,48.24,68.8,40.31,30.58,21.88,49.57,71.49,11.81
AGRANA BETEILIGUNGS - TOTAL DEBT % TOTAL CAPITAL/STD,AT000AGRANA3(WC08221),NA,42.35,44.26,38.04,36.66,38.58,37.74,35.62,34.5,30.8,24.46,20.38,23.1,29.38
AHLERS AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE0005009740(WC08221),NA,33.85,24.5,19.38,17.9,18.99,21.67,22.25,21.85,24.31,25.98,25.71,21.11,40.48
AIB GROUP PLC - TOTAL DEBT % TOTAL CAPITAL/STD,IE00BF0L3536(WC08221),NA,86.45,86.21,94.31,78.94,78.42,78.98,71.84,67.86,57.19,44.14,40.07,40.75,48
AIR FRANCE - KLM - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000031122(WC08221),NA,42.73,62.4,67.1,63.14,69.11,81.67,106.99,103.53,92.8,76.75,88.66,85.93,140.96
AIRBUS SE - TOTAL DEBT % TOTAL CAPITAL/STD,NL0000235190(WC08221),NA,28.82,33.23,32.37,36.52,50.24,51.98,66.22,73.32,82.77,56.15,58.15,70.66,76.49
AIXTRON SE - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A0WMPJ6(WC08221),NA,0,0,0,0,0,0,0,0,0,0,0,0.19,0.63
AKASTOR ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010215684(WC08221),NA,43.83,45.17,44.27,34.65,39.1,45.5,34.9,43.28,35.37,32.42,12.24,32.69,38.93
AKER ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010234552(WC08221),NA,39.36,54.01,54.58,31.4,41.76,47.99,58.26,63.73,43.09,41.25,42.06,54.37,56.37
AKER BIOMARINE ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010886625(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,67.52,69.91,82.27,53.46,73.1,39.42
AKER BP ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010345853(WC08221),NA,0,27.78,32.65,20.82,39.65,61.01,77.85,88.55,50.92,53.14,40.3,60.33,67.8
AKER CARBON - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010890304(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04
AKER SOLUTIONS ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010716582(WC08221),NA,NA,NA,NA,16.51,44.74,35.41,39.38,35.81,38.13,30.65,27.69,55.33,49.74
AKKA TECHNOLOGIE - TOTAL DEBT % TOTAL CAPITAL/STD,FR0004180537(WC08221),NA,27.58,24.12,18.55,11.51,41.06,42.94,57.23,57.88,52.74,70.16,68.05,59.26,61.71
