Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACS ACTIVIDADES - OPTG INC BEFORE DEP & AMORT,ES0167050915(WC18155),E,1051429,1011667,1139961,1763811,2616222,2380954,1158316,1619602,1310909,1632281,1747866,2144540,710412
ACS ACTIVIDADES - NET SALES OR REVENUES,ES0167050915(WC01001),E,16009990,15605930,15379664,28471883,38396178,38372521,34880860,34924662,31975212,34898213,36658516,39048873,34937356
ADDLIFE AB - OPTG INC BEFORE DEP & AMORT,SE0014401378(WC18155),SK,NA,NA,NA,NA,NA,121900,127600,128300,211200,247900,257400,407900,945800
ADDLIFE AB - NET SALES OR REVENUES,SE0014401378(WC01001),SK,NA,NA,NA,NA,NA,906500,983500,1056800,1980800,2333300,2481600,3479400,5273300
ADDTECH AB - OPTG INC BEFORE DEP & AMORT,SE0014781795(WC18155),SK,470500,413700,286400,441700,552300,518300,595400,644800,585000,714000,823000,1105000,1473000
ADDTECH AB - NET SALES OR REVENUES,SE0014781795(WC01001),SK,4198000,4445000,3680000,4418000,5200000,5403000,6089000,6776000,6155000,7178000,8022000,10148000,11735000
ADEVINTA - OPTG INC BEFORE DEP & AMORT,NO0010844038(WC18155),NK,NA,NA,NA,NA,NA,NA,NA,NA,563099,883403,1448033,1961379,1877338
ADEVINTA - NET SALES OR REVENUES,NO0010844038(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,NA,3893613,4795884,5724737,6698424,7237478
ADIDAS AG - OPTG INC BEFORE DEP & AMORT,DE000A1EWWW0(WC18155),E,1142000,654000,975000,1105000,1258000,1379000,1129000,1271000,1546000,2238000,2787000,3770000,2126000
ADIDAS AG - NET SALES OR REVENUES,DE000A1EWWW0(WC01001),E,10799000,10381000,11990000,13344000,14883000,14492000,14534000,16915000,19291000,21218000,21915000,23640000,19844000
ADLER GROUP SA - OPTG INC BEFORE DEP & AMORT,LU1250154413(WC18155),E,NA,NA,NA,NA,2188,4265,11021,25337,45764,59265,68792,45512,-140977
ADLER GROUP SA - NET SALES OR REVENUES,LU1250154413(WC01001),E,NA,NA,NA,NA,15698,22673,34329,75753,109775,128852,154853,156520,758737
ADLER REAL ESTATE AG - OPTG INC BEFORE DEP & AMORT,DE0005008007(WC18155),E,NA,NA,NA,NA,NA,NA,-18699,13621,-27507,-22521,14232,55808,517153
ADLER REAL ESTATE AG - NET SALES OR REVENUES,DE0005008007(WC01001),E,9174,4463,1267,7601,5719,19235,140703,384793,412812,303242,424663,904185,1191194
AEROPORTS DE PARIS - OPTG INC BEFORE DEP & AMORT,FR0010340141(WC18155),E,839703,873151,916817,967401,994811,1074892,1123000,1183000,1151000,1475000,1901000,1759000,-112000
AEROPORTS DE PARIS - NET SALES OR REVENUES,FR0010340141(WC01001),E,2527031,2633434,2739005,2501514,2640450,2754457,2791000,2916000,2947000,3617000,4478000,4700000,2137000
ADVA AG - OPTG INC BEFORE DEP & AMORT,DE0005103006(WC18155),E,10079,17328,27487,35546,43123,31937,36735,60910,56720,41705,59765,70859,90106
ADVA AG - NET SALES OR REVENUES,DE0005103006(WC01001),E,217672,232808,291725,310945,330069,310702,339168,441938,566686,514471,501981,556821,564958
ADYEN NV - OPTG INC BEFORE DEP & AMORT,NL0012969182(WC18155),E,NA,NA,NA,NA,NA,NA,14690,43064,67075,99330,181806,279121,402297
ADYEN NV - NET SALES OR REVENUES,NL0012969182(WC01001),E,NA,NA,NA,NA,NA,NA,153675,331101,659361,1012440,1652948,2656774,3641389
AEDAS HOMES SA - OPTG INC BEFORE DEP & AMORT,ES0105287009(WC18155),E,NA,NA,NA,NA,NA,NA,NA,NA,-2283,-36157,-6157,55115,30856
AEDAS HOMES SA - NET SALES OR REVENUES,ES0105287009(WC01001),E,NA,NA,NA,NA,NA,NA,NA,NA,15,38694,79823,311654,280588
AEDIFICA NV - OPTG INC BEFORE DEP & AMORT,BE0003851681(WC18155),E,7517,10850,15593,17817,20658,24597,27702,33813,37082,59267,67975,94949,126921
AEDIFICA NV - NET SALES OR REVENUES,BE0003851681(WC01001),E,20806,24836,24256,29384,35311,37587,40613,50281,60518,80394,92386,125693,170401
AEGEAN AIRLINES S.A. - OPTG INC BEFORE DEP & AMORT,GRS495003006(WC18155),E,51604,30208,-17796,-28783,-3404,79530,109045,92387,62614,105838,93925,250080,-84236
AEGEAN AIRLINES S.A. - NET SALES OR REVENUES,GRS495003006(WC01001),E,611693,622713,591004,668218,653388,698917,911794,982964,1020313,1127625,1187440,1308783,415104
AEGON N.V. - OPTG INC BEFORE DEP & AMORT,NL0000303709(WC18155),E,2252000,2092000,3990000,3105000,3865000,2877000,2796000,2399000,2231000,3266000,2155000,3132000,1317000
AEGON N.V. - NET SALES OR REVENUES,NL0000303709(WC01001),E,34201000,30052000,32342000,29320000,30977000,48252000,46895000,35093000,37738000,38233000,32572000,32328000,29822000
AENA SME SA - OPTG INC BEFORE DEP & AMORT,ES0105046009(WC18155),E,NA,NA,NA,847529,1052426,1564602,1828331,2054775,2250271,2471995,2604496,2725942,804736
AENA SME SA - NET SALES OR REVENUES,ES0105046009(WC01001),E,NA,NA,NA,2418834,2605919,2883930,3084177,3459185,3709581,3960582,4201406,4443560,2180616
AEROPORTO GUGLI - OPTG INC BEFORE DEP & AMORT,IT0001006128(WC18155),E,NA,NA,NA,NA,12068,13856,18313,20767,24354,30610,33577,40490,-7850
AEROPORTO GUGLI - NET SALES OR REVENUES,IT0001006128(WC01001),E,NA,NA,NA,NA,81981,85915,75902,79313,89600,98169,113152,123989,66389
AF GRUPPEN ASA - OPTG INC BEFORE DEP & AMORT,NO0003078107(WC18155),NK,368497,312862,325000,305000,345000,591000,607000,929000,1195000,976000,1117000,1641000,1748000
AF GRUPPEN ASA - NET SALES OR REVENUES,NO0003078107(WC01001),NK,5879654,5313553,5751000,7268000,9830000,10127000,9935000,12342000,11876000,13704000,18767000,22612000,27025000
AFRY - OPTG INC BEFORE DEP & AMORT,SE0005999836(WC18155),SK,538606,434169,361700,479100,538500,655100,814800,885700,1070000,1218000,1359000,2375000,2103000
AFRY - NET SALES OR REVENUES,SE0005999836(WC01001),SK,4568835,4677909,4334100,5124100,5796400,8337000,8805000,9850600,11070000,12658000,13975000,19792000,18991000
AGEAS SA - OPTG INC BEFORE DEP & AMORT,BE0974264930(WC18155),E,979000,2271000,616300,-7600,1103900,816500,680400,1075100,-100400,1281900,1166100,902800,1431000
AGEAS SA - NET SALES OR REVENUES,BE0974264930(WC01001),E,11887000,15132000,13294100,13809900,14244400,13590000,13800500,13099800,12846300,12143700,11211300,14041500,11713000
AGFA-GEVAERT NV - OPTG INC BEFORE DEP & AMORT,BE0003755692(WC18155),E,200000,234000,61000,-31000,81000,134000,181000,202000,217000,185000,100000,292000,165000
AGFA-GEVAERT NV - NET SALES OR REVENUES,BE0003755692(WC01001),E,3032000,2755000,2948000,3023000,3091000,2865000,2620000,2646000,2537000,2443000,2247000,2239000,1709000
AGRANA BETEILIGUNGS - OPTG INC BEFORE DEP & AMORT,AT000AGRANA3(WC18155),E,249739,152120,152023,177944,272858,295099,236373,150767,161842,214402,234180,129070,156595
AGRANA BETEILIGUNGS - NET SALES OR REVENUES,AT000AGRANA3(WC01001),E,1892275,2026328,1989159,2165902,2577631,3065906,3043430,2493512,2477647,2561296,2566317,2443048,2480732
AHLERS AG - OPTG INC BEFORE DEP & AMORT,DE0005009740(WC18155),E,8527,13681,19730,19524,12525,9585,11661,5714,6324,5773,-1488,-900,-8167
AHLERS AG - NET SALES OR REVENUES,DE0005009740(WC01001),E,268097,249440,250800,256213,253170,246717,257109,241912,237761,235931,223067,207004,151584
AIB GROUP PLC - OPTG INC BEFORE DEP & AMORT,IE00BF0L3536(WC18155),E,1061000,-2238000,-6272000,-7562000,-3798000,-1454000,1270000,1973000,1765000,1497000,1438000,752000,-603000
AIB GROUP PLC - NET SALES OR REVENUES,IE00BF0L3536(WC01001),E,11571000,8457000,5094000,4596000,3301000,3744000,3813000,3476000,3503000,3344000,3166000,2975000,2795000
AIR FRANCE - KLM - OPTG INC BEFORE DEP & AMORT,FR0000031122(WC18155),E,2988000,1327000,112000,1615996,1156000,1865000,1596000,1299000,1720000,2467000,4129000,4018000,-2942000
AIR FRANCE - KLM - NET SALES OR REVENUES,FR0000031122(WC01001),E,24114000,23970000,20994000,25382603,25633000,25530000,24930000,26062000,24846000,25784000,26515000,27189000,11088000
AIRBUS SE - OPTG INC BEFORE DEP & AMORT,NL0000235190(WC18155),E,4052000,1208000,2455500,2986000,3811000,4053000,4901000,5433000,1579000,4311000,6252000,9718000,4179000
AIRBUS SE - NET SALES OR REVENUES,NL0000235190(WC01001),E,43265000,42822000,45752000,49128000,56480000,59256000,60713000,64450000,66581000,66767000,63707000,70478000,49912000
