Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACCIONA - Governance Pillar Score,ES0125220311(CGSCORE),NA,62.34,65.47,66.53,65.57,51.19,56.71,56.28,53.94,65.42,65.42,80.32,72.46,76.58
ACCOR - Environment Pillar Score,FR0000120404(ENSCORE),NA,80.95,80.62,83.14,87.2,88,83.48,91.12,90.16,87.39,79.75,74.7,76.21,79.41
ACCOR - Social Pillar Score,FR0000120404(SOSCORE),NA,46.88,54.92,58.79,63.19,58.36,57.65,66.24,87.62,87.23,88.51,85.69,90.58,89.27
ACCOR - Governance Pillar Score,FR0000120404(CGSCORE),NA,52.9,22.95,45.2,63.23,52.65,71.97,52.04,42.3,42.3,67.25,68.62,74.56,76.19
ACEA - Environment Pillar Score,IT0001207098(ENSCORE),NA,36.48,38.77,74.55,74.07,71.44,70.49,81.12,85.69,81.67,92.26,89.71,85.72,70.82
ACEA - Social Pillar Score,IT0001207098(SOSCORE),NA,55.1,60.39,62.56,55.79,70.51,68.98,67.19,69.57,66.48,71.15,60.28,58.97,54.13
ACEA - Governance Pillar Score,IT0001207098(CGSCORE),NA,83.85,72.61,85.14,70.1,64.44,32.52,40.62,53.57,37.13,49.21,66.01,73.08,63.59
ACERINOX 'R' - Environment Pillar Score,ES0132105018(ENSCORE),NA,38.2,37.95,40.51,48.42,48.33,43.12,38.47,35.43,47.37,56.97,67.38,66.88,88.29
ACERINOX 'R' - Social Pillar Score,ES0132105018(SOSCORE),NA,24.91,31.51,32.68,55.71,67.57,62.17,46.67,45.95,69.37,65.22,74.41,76.41,77.77
ACERINOX 'R' - Governance Pillar Score,ES0132105018(CGSCORE),NA,20.78,27.85,22.36,18.59,25.16,16.73,21.85,28.99,31.92,35.57,42.93,47.18,44.51
ACKERMANS & VAN HAAREN - Environment Pillar Score,BE0003764785(ENSCORE),NA,0,0,5.84,4.83,5.98,5.44,13.83,20.38,40.25,50.01,49.42,53.48,50.49
ACKERMANS & VAN HAAREN - Social Pillar Score,BE0003764785(SOSCORE),NA,4.01,4.15,4.39,5.28,11.76,6.09,13.97,13.3,11.1,19.59,9.31,18.23,20.7
ACKERMANS & VAN HAAREN - Governance Pillar Score,BE0003764785(CGSCORE),NA,37.56,50.25,52.5,51.67,55.43,43.09,63.93,68.69,73.45,55.4,62.88,52.17,32.13
ACROUD - Environment Pillar Score,SE0001863291(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.85
ACROUD - Social Pillar Score,SE0001863291(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.57
ACROUD - Governance Pillar Score,SE0001863291(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.14
ACS ACTIV.CONSTR.Y SERV. - Environment Pillar Score,ES0167050915(ENSCORE),NA,74.65,78.02,65.87,84.71,79.07,68.74,65.92,69.86,76.16,79.59,76.68,78.22,77.1
ACS ACTIV.CONSTR.Y SERV. - Social Pillar Score,ES0167050915(SOSCORE),NA,83.54,80.79,84.59,83.58,74.81,78.28,85.18,87.19,84.54,87.58,89.51,88.01,93.29
ACS ACTIV.CONSTR.Y SERV. - Governance Pillar Score,ES0167050915(CGSCORE),NA,24.23,16.54,27.24,30.42,23.93,13.74,13.24,15.05,6.26,10.21,15.94,17.57,31.01
ADDLIFE B - Environment Pillar Score,SE0014401378(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ADDLIFE B - Social Pillar Score,SE0014401378(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.84
ADDLIFE B - Governance Pillar Score,SE0014401378(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.43
ADDTECH B - Environment Pillar Score,SE0014781795(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4
ADDTECH B - Social Pillar Score,SE0014781795(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.31
ADDTECH B - Governance Pillar Score,SE0014781795(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.38
ADEVINTA - Environment Pillar Score,NO0010844038(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.61,20.59
ADEVINTA - Social Pillar Score,NO0010844038(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.61,51.83
ADEVINTA - Governance Pillar Score,NO0010844038(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.77,57.96
ADIDAS - Environment Pillar Score,DE000A1EWWW0(ENSCORE),NA,86,92.46,87.35,91.56,90.05,91.6,88.22,90.2,90.24,88.09,87.68,88.39,88.07
ADIDAS - Social Pillar Score,DE000A1EWWW0(SOSCORE),NA,80.45,85.17,87.21,93.97,93.62,94.63,90.14,97.98,94.8,94.44,95.22,94.1,94.05
ADIDAS - Governance Pillar Score,DE000A1EWWW0(CGSCORE),NA,62.01,86.59,86.76,85.43,90.94,82.2,80.84,87.47,76.88,69.55,75.24,89.31,90.35
ADLER GROUP - Environment Pillar Score,LU1250154413(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,34.13
ADLER GROUP - Social Pillar Score,LU1250154413(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.96,15.92,48.73
ADLER GROUP - Governance Pillar Score,LU1250154413(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,17.31,59.67
ADLER REAL ESTATE - Environment Pillar Score,DE0005008007(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.98,33.28,NA
ADLER REAL ESTATE - Social Pillar Score,DE0005008007(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36,48.01,NA
ADLER REAL ESTATE - Governance Pillar Score,DE0005008007(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.03,21.32,NA
ADP - Environment Pillar Score,FR0010340141(ENSCORE),NA,63.96,71.48,64.57,70.15,79.6,83.89,84.67,80.09,82.65,79.46,81.44,85.92,78.93
ADP - Social Pillar Score,FR0010340141(SOSCORE),NA,52.33,51.05,54.27,65.43,66.31,70.19,70.65,77.92,82.95,77.63,89.02,80.75,81.26
ADP - Governance Pillar Score,FR0010340141(CGSCORE),NA,30.68,35.3,41.94,57.61,35.66,50.5,38.63,55.15,44.57,37.14,50.57,44.59,41.92
ADVA OPTICAL NETWORKING - Environment Pillar Score,DE0005103006(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.51,61.43,63.07
ADVA OPTICAL NETWORKING - Social Pillar Score,DE0005103006(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,69.33,65.49
ADVA OPTICAL NETWORKING - Governance Pillar Score,DE0005103006(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.26,78.95,81.02
ADYEN - Environment Pillar Score,NL0012969182(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,44.05
ADYEN - Social Pillar Score,NL0012969182(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.42,29.05,35.79
ADYEN - Governance Pillar Score,NL0012969182(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.71,57.58,28.23
AEDAS HOMES - Environment Pillar Score,ES0105287009(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.71,38.41,NA
AEDAS HOMES - Social Pillar Score,ES0105287009(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.67,61.88,NA
AEDAS HOMES - Governance Pillar Score,ES0105287009(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.93,57.58,NA
