Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACS ACTIVIDADES - TOTAL ASSETS,ES0167050915(WC02999),E,50703969,30981044,33360572,45904286,39096272,37391457,37124815,33098361,31061719,29837765,32799609,36485384,35444867
"ACS ACTIVIDADES - PROPERTY, PLANT & EQUIP - NET",ES0167050915(WC02501),E,1352132,993988,1218161,3062550,3680870,3171211,3253071,3022929,2023210,1800814,1783975,2840216,2170228
ADDLIFE AB - TOTAL ASSETS,SE0014401378(WC02999),SK,NA,NA,NA,NA,NA,608900,613200,643300,1574700,1888400,2642700,3265800,4144600
"ADDLIFE AB - PROPERTY, PLANT & EQUIP - NET",SE0014401378(WC02501),SK,NA,NA,NA,NA,NA,27100,26100,31000,67800,74700,110200,352700,433600
ADDTECH AB - TOTAL ASSETS,SE0014781795(WC02999),SK,2009000,2120000,1801000,2309000,2732000,3062000,3462000,3849000,3799000,4507000,5504000,7025000,8479000
"ADDTECH AB - PROPERTY, PLANT & EQUIP - NET",SE0014781795(WC02501),SK,180000,170000,141000,162000,156000,165800,187000,198000,168000,190000,207000,270000,936000
ADEVINTA - TOTAL ASSETS,NO0010844038(WC02999),NK,NA,NA,NA,NA,NA,NA,NA,NA,14207076,21361233,21302777,20848744,34796818
"ADEVINTA - PROPERTY, PLANT & EQUIP - NET",NO0010844038(WC02501),NK,NA,NA,NA,NA,NA,NA,NA,NA,132708,188027,196202,845485,1136569
ADIDAS AG - TOTAL ASSETS,DE000A1EWWW0(WC02999),E,9189000,8463000,10110000,10887000,11123000,11113000,11840000,12706000,14444000,13892000,14961000,19587000,19820000
"ADIDAS AG - PROPERTY, PLANT & EQUIP - NET",DE000A1EWWW0(WC02501),E,886000,723000,855000,963000,1095000,1238000,1454000,1638000,1915000,2000000,2237000,5311000,4587000
ADLER GROUP SA - TOTAL ASSETS,LU1250154413(WC02999),E,NA,NA,NA,NA,274220,487788,800795,1670148,2562394,3518263,4169441,4396465,14829761
"ADLER GROUP SA - PROPERTY, PLANT & EQUIP - NET",LU1250154413(WC02501),E,NA,NA,NA,NA,256110,449265,611946,1458524,2281083,3274081,4047518,3636194,10163409
ADLER REAL ESTATE AG - TOTAL ASSETS,DE0005008007(WC02999),E,41280,38003,35899,34286,42883,460336,1415476,3075781,3430069,3778967,5854096,10679722,6291750
"ADLER REAL ESTATE AG - PROPERTY, PLANT & EQUIP - NET",DE0005008007(WC02501),E,666,29,39,35,43,41,1170653,2271456,2445422,3023466,4996632,4939356,4974066
AEROPORTS DE PARIS - TOTAL ASSETS,FR0010340141(WC02999),E,7301801,7979656,8277198,8853129,9380553,9637709,9791000,10433000,10592000,14275000,16067000,16756000,18524000
"AEROPORTS DE PARIS - PROPERTY, PLANT & EQUIP - NET",FR0010340141(WC02501),E,5400326,5433688,5547710,5779523,6027544,5986608,5928000,5953000,6271000,6793000,7272000,7930000,8084000
ADVA AG - TOTAL ASSETS,DE0005103006(WC02999),E,192359,191106,229418,248659,271604,278081,299160,362402,431893,453405,479223,530026,492739
"ADVA AG - PROPERTY, PLANT & EQUIP - NET",DE0005103006(WC02501),E,18734,17509,20678,21648,23338,21882,20961,19955,25126,26898,29052,64607,56621
ADYEN NV - TOTAL ASSETS,NL0012969182(WC02999),E,NA,NA,NA,NA,NA,NA,490247,820497,1374443,1135575,1852119,2537341,4052124
"ADYEN NV - PROPERTY, PLANT & EQUIP - NET",NL0012969182(WC02501),E,NA,NA,NA,NA,NA,NA,3991,7692,15084,19990,23921,89914,160074
AEDAS HOMES SA - TOTAL ASSETS,ES0105287009(WC02999),E,NA,NA,NA,NA,NA,NA,NA,NA,48250,1116417,1237734,1506805,1562022
"AEDAS HOMES SA - PROPERTY, PLANT & EQUIP - NET",ES0105287009(WC02501),E,NA,NA,NA,NA,NA,NA,NA,NA,348,706,852,3626,3381
AEDIFICA NV - TOTAL ASSETS,BE0003851681(WC02999),E,367894,368442,443760,530872,609092,652197,794479,1020174,1172486,1568914,1766643,2386127,4064273
"AEDIFICA NV - PROPERTY, PLANT & EQUIP - NET",BE0003851681(WC02501),E,349233,357994,436586,519923,594795,644693,786891,1005192,1153837,1542020,1739032,2317035,3811352
AEGEAN AIRLINES S.A. - TOTAL ASSETS,GRS495003006(WC02999),E,436011,455119,439308,405340,380485,541001,608547,652101,650762,682051,725907,1333449,1376710
"AEGEAN AIRLINES S.A. - PROPERTY, PLANT & EQUIP - NET",GRS495003006(WC02501),E,148878,138965,138253,119054,89241,81005,80489,103938,100768,94192,88841,460103,621264
